runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
197.59375,260.76324,269.6659,0.0,0.0009191311878264941,-203030.0,-3968663.0,-7.317720701394137,-0.6148557076812722,0.006387962159237759
195.41406,259.00787,269.83722,0.0,0.00022978279695662351,-210418.0,-3359742.0,-7.679111831748742,-0.6371805483240678,0.006433918731119093
193.53906,259.1595,270.26874,0.0,0.0022978280944663254,-246084.0,-4235784.0,-8.906208677217364,-0.7490058067105565,0.019841978726731213
191.92188,258.66907,270.1358,0.0,0.0006893484116865523,-262540.0,-3706487.0,-10.233118928226759,-0.793454432823637,0.0066177450186444275
190.46875,259.61426,269.77527,0.0,0.003446742224966215,-210092.0,-3451538.0,-8.056731303440756,-0.6366419711412163,0.4219271971805938
189.05469,261.2102,270.48517,0.0,0.003906307610712645,-244556.0,-4072486.0,-8.95210860107909,-0.7431966082549479,0.016889729614888438
187.70312,260.2447,271.4193,0.0,0.00022978279695662351,-225434.0,-4298499.0,-10.768972742880578,-0.6827996088532018,0.01328144527690256
186.375,260.50995,270.24573,0.0,0.0009191311878264941,-266800.0,-4211260.0,-11.672104392346228,-0.8046347375056939,0.0033548280820028253
185.4375,261.70898,271.07684,0.0,0.00022978279695662351,-340294.0,-3991646.0,-8.63974696585501,-1.024271227834106,0.002699947931894542
184.8125,261.46075,271.916,0.0,0.0006893484116865523,-249424.0,-4179685.0,-9.467855534239789,-0.7376745827514242,0.006633801508115766
184.20312,262.1703,272.09198,0.0,-3.5444070780947543e-16,-171792.0,-3693086.0,-8.600627324995003,-0.4979177816721858,0.0016659253976314403
183.53125,261.90738,272.43683,0.0,-5.617557392169347e-16,-119526.0,-4007818.0,-9.089605100598419,-0.34208196808549474,0.0
182.71875,263.20593,271.86658,0.0,0.00045956559391324703,-157718.0,-1900380.0,-7.660240953555331,-0.435538964893567,0.5458950198544699
181.73438,261.77826,272.43982,0.0,0.00022978279695662351,-117386.0,-3390905.0,-8.453795999230351,-0.33191408022048563,0.003297382367151158
180.60938,260.3048,271.9337,0.0,0.005514787293492418,-163360.0,-3747546.0,-9.6723908882268,-0.46154030997058726,1.644463679895125
179.375,262.76163,272.7071,0.0,-3.6781583814661044e-16,-79034.0,-4380922.0,-8.55696816870477,-0.22871287796988327,0.0
178.34375,262.34225,272.12726,0.0,-3.5109693469152254e-16,-106524.0,-4046159.0,-8.661778110763407,-0.3003763850983887,0.0003446742058432761
177.5,261.27246,272.08963,0.0,0.00022978279695662351,-119338.0,-3496583.0,-8.89719035512826,-0.33653127218258305,0.0
176.82812,259.7909,272.5443,0.0,-3.3103425811848174e-16,-101402.0,-4090025.0,-9.935981552189332,-0.29079731689307664,0.0033088325412933273
176.29688,259.02924,272.22803,0.0,-3.6781583814661044e-16,-102648.0,-4321453.0,-9.611929726816015,-0.29333212125948194,0.003285894223381547
175.6875,259.53964,272.36734,0.0,-2.842213208711709e-16,-98704.0,-3785259.0,-9.50324260884372,-0.2790496793636521,0.0
174.875,260.66223,271.287,0.0,0.0013786968233731045,-118268.0,-3083008.0,-7.933682809380116,-0.3294510904083836,0.05356237053888435
174.0,261.13763,271.9867,0.0,-3.611282540453812e-16,-64936.0,-3289787.0,-8.35136938803771,-0.1846376704861541,0.0
173.14062,262.14038,271.80957,0.0,-3.5444070780947543e-16,-122186.0,-3478437.0,-9.989750424210797,-0.3409115123531592,0.0
172.14062,261.6601,272.78644,0.0,-2.507835139609951e-16,-129978.0,-3728525.0,-10.206147862845683,-0.3624680289249227,0.5703209211560534
170.95312,266.15088,271.56335,0.0,0.0032169593655595463,-193294.0,-1641796.0,-5.7313861816510325,-0.5314948055001878,11.021129694199772
169.59375,265.2901,272.3691,0.0,0.0032169593655595463,-198766.0,-1880116.0,-6.132041562523227,-0.5524194222061851,0.9632150863581046
168.20312,263.96735,272.349,0.0,0.00022978279695662351,-341874.0,-2262327.0,-7.271591584867565,-0.9327817451776355,3.689852178467845
166.89062,261.86334,271.7479,0.0,0.00022978279695662351,-353792.0,-2100790.0,-7.796042382324231,-0.9645491445553489,1.2508456563864456
165.45312,261.74368,270.94473,0.0,0.0020680452350596568,-278424.0,-3361472.0,-7.435254929077928,-0.7597625142352626,0.1721073203952983
164.07812,262.15283,269.8592,0.0,0.0011489140472331627,-259524.0,-2930848.0,-6.496391051769024,-0.7084491073783283,0.5700911316353086
162.76562,263.14014,271.13306,0.0,0.0009191311878264941,-285498.0,-3301218.0,-7.653059583390132,-0.7839327906822291,0.0034582313679365484
