runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
40.6875,280.05426,281.6991,-7.345365e-21,0.0123381615,-2874188.0,-1850237.0,-2.4179668,-1.149308,0.19545257
65.75,280.53717,282.96222,-7.345365e-21,0.00011920929,-4705154.0,-3727352.0,-4.1796193,-1.8814597,0.0024288893
95.19531,281.39777,283.26288,-7.345365e-21,0.0008940697,-5235752.0,-4101115.0,-4.521422,-2.0936308,0.0025734608
113.89844,281.23938,287.2276,-7.345365e-21,0.00011920929,-6799826.0,-4426422.0,-5.8286786,-2.7190595,0.0008583069
100.359375,283.95996,287.65613,-7.345365e-21,0.0003874302,-6512528.0,-3815233.0,-5.8223715,-2.6041782,0.0026583672
77.35156,280.5149,282.0086,-7.345365e-21,0.24041533,-2656136.0,-1146579.0,-1.6612782,-1.0621152,1.8755348
57.265625,278.0611,278.82947,-7.345365e-21,0.323534,-2098016.0,-389415.0,-0.9213425,-0.8389372,2.248743
42.375,278.6662,279.06995,-7.345365e-21,0.41913986,-1824052.0,-434269.0,-0.92312694,-0.72938764,2.0725758
32.03125,273.5039,273.47528,90.82031,0.41881204,-766988.0,-248097.0,-0.33445284,-0.31066126,18.724262
25.0,273.71466,273.37106,153.32031,0.4184842,-166952.0,-868330.0,-0.51938,-0.06620027,2.1402647
20.28125,274.76404,273.63495,136.71875,0.4181564,-181594.0,-1341479.0,-0.68707395,-0.07589348,0.6386414
16.96875,270.173,269.05988,94.72656,0.3555119,-580462.0,-3350232.0,-1.1612699,-0.23075286,0.009343028
14.671875,270.8778,271.39197,59.570312,0.09787083,-1682410.0,-3498444.0,-1.5095435,-0.66191983,0.0017940997
12.984375,275.50287,274.00232,31.25,0.003516674,-2242730.0,-3257122.0,-2.0105429,-0.8985596,0.0024542212
11.875,278.85754,277.71103,12.6953125,0.00020861626,-3770470.0,-3603339.0,-3.147438,-1.5095584,0.018122792
10.921875,279.31436,280.26178,5.859375,0.09769201,-1792236.0,-729569.0,-1.343742,-0.71779454,0.6976649
10.25,279.9106,280.25616,2.9296875,0.18876791,-2079416.0,-646689.0,-0.9202361,-0.8319318,2.500385
9.765625,276.82715,277.12674,0.9765625,0.41779876,-1461340.0,-465177.0,-0.586614,-0.58497584,7.5285583
9.421875,278.75574,279.30603,1.953125,0.20518899,-1523022.0,-552864.0,-0.7196814,-0.6091138,1.1483103
9.125,278.2929,280.61084,-7.345365e-21,0.047147274,-5608918.0,-3427739.0,-4.2993054,-2.2428687,0.6982401
8.9375,280.2408,279.2775,-7.345365e-21,0.024110079,-2874364.0,-1942009.0,-1.6192049,-1.1494011,1.1547506
9.078125,279.98645,283.44714,-7.345365e-21,0.0002682209,-6462086.0,-4472778.0,-5.2293053,-2.5840132,0.007095933
16.078125,280.17865,283.8695,-7.345365e-21,-4.6837537e-17,-6450486.0,-4535894.0,-5.2218475,-2.5793705,0.0008493662
37.875,279.82593,285.22168,-7.345365e-21,-4.597018e-17,-7974324.0,-4873921.0,-6.505452,-3.1887097,0.0029727817
56.84375,281.01947,283.42316,-7.345365e-21,0.00059604645,-6406128.0,-4622690.0,-4.773535,-2.5616317,0.0030621886
51.375,281.12354,283.6317,-7.345365e-21,0.00047683716,-6564638.0,-4032854.0,-5.0611086,-2.6250155,0.029407442
54.984375,280.7237,284.15817,-7.345365e-21,0.00017881393,-7034074.0,-4667943.0,-5.54125,-2.8127291,0.006268918
97.015625,278.3072,286.12244,-7.345365e-21,-3.4694476e-17,-8124308.0,-5026246.0,-6.6865163,-3.2486842,0.0
137.28125,281.85748,285.05258,-7.345365e-21,0.0003874302,-7218578.0,-4933033.0,-5.7045927,-2.8865077,0.0024914742
137.07812,280.20657,283.27286,-7.345365e-21,0.007987022,-4979450.0,-2396098.0,-3.422223,-1.9911425,0.625968
123.328125,278.78174,280.26154,-7.345365e-21,0.2065599,-2446068.0,-846960.0,-1.5304983,-0.9781132,1.2356639
126.78125,279.2827,281.21313,-7.345365e-21,0.062018633,-1908158.0,-682393.0,-1.3612881,-0.7630186,0.4138589
132.90625,281.38507,285.21786,-7.345365e-21,-4.6837537e-17,-6250744.0,-3227962.0,-5.331747,-2.4994984,0.09590387
