runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
43.953125,261.74567,259.72253,59.570312,0.00020861626,-831254.0,-3945687.0,-0.7238723,-0.2933629,0.00079870224
43.179688,264.9356,262.4134,44.921875,0.00044703484,-518154.0,-4339216.0,-0.750415,-0.18290338,0.0
42.367188,266.1341,265.53046,33.203125,0.00074505806,-405360.0,-4329096.0,-0.93682855,-0.1437096,0.0025734608
41.539062,260.30383,264.93463,24.414062,0.00014901161,-366190.0,-4508755.0,-1.0802448,-0.1302017,0.0017672777
40.726562,261.28418,262.3534,72.265625,0.00023841858,-524388.0,-1723016.0,-0.5489439,-0.18514134,3.1418562
39.898438,253.21019,256.4461,67.38281,0.000923872,-615966.0,-4429510.0,-0.55365264,-0.21746382,0.002145857
39.046875,255.89508,258.21814,57.617188,0.00047683716,-499874.0,-4541288.0,-0.6527417,-0.176562,0.0022292135
38.1875,259.3205,258.5172,59.570312,0.0004172325,-647592.0,-3576396.0,-0.6684065,-0.22869185,0.1695931
37.3125,255.89648,255.1296,57.617188,2.9802322e-05,-463780.0,-5180801.0,-0.6619282,-0.16376469,0.0
36.4375,251.61311,254.93552,56.640625,0.0002682209,-471354.0,-5174697.0,-0.69512427,-0.16638356,0.0008603894
35.5,250.95546,253.91815,55.664062,-4.597018e-17,-487064.0,-5249660.0,-0.7003471,-0.171897,0.0
34.59375,254.09683,256.45636,54.6875,-7.285848e-17,-579694.0,-4861332.0,-0.7657409,-0.20456687,0.0
33.671875,256.69226,256.8197,52.734375,0.0003874302,-626462.0,-4851974.0,-0.801865,-0.22118725,0.0017195939
32.78125,260.89935,259.24646,49.804688,0.00017881393,-638998.0,-4970044.0,-0.8507483,-0.22554816,0.0004276632
31.90625,260.51184,260.38095,49.804688,0.0003874302,-698280.0,-3658570.0,-0.81269443,-0.24650899,0.14736056
31.078125,261.0546,260.15436,47.851562,-4.7704902e-17,-638682.0,-4505468.0,-0.8393079,-0.22553653,0.0014975667
30.203125,252.62936,258.7132,53.710938,0.00029802322,-837778.0,-3302988.0,-0.82642585,-0.29582623,0.5417019
29.328125,255.8994,256.2537,49.804688,-4.5536498e-17,-654306.0,-5771828.0,-0.9108633,-0.23100618,0.0
28.4375,257.1327,258.10486,46.875,0.00011920929,-687406.0,-5383569.0,-0.9367317,-0.2426179,0.00042914826
27.625,256.3261,258.44873,42.96875,5.9604645e-05,-636576.0,-5212985.0,-0.9524673,-0.22469461,0.000500679
26.75,259.9127,261.3986,40.039062,-3.6862877e-17,-688292.0,-5234400.0,-1.0777563,-0.24296436,0.0
25.9375,262.3048,262.6151,33.203125,0.00035762787,-603770.0,-5429331.0,-1.1589378,-0.21322444,0.00085234636
25.078125,265.49115,267.06873,25.390625,0.0009834766,-417898.0,-4382107.0,-1.1925175,-0.14877878,0.0045597553
24.234375,265.10327,265.23535,20.507812,-4.597018e-17,-336642.0,-4556202.0,-1.0518767,-0.12031291,0.19283593
23.4375,265.4765,265.18488,15.625,0.00017881393,-319336.0,-5236265.0,-1.2264401,-0.116121024,0.011667609
22.625,263.12354,268.91882,13.671875,0.00047683716,-274690.0,-3043213.0,-1.1798255,-0.098433346,0.087320805
21.78125,266.70612,267.81442,13.671875,0.0003874302,-320128.0,-3340171.0,-1.2051314,-0.11545699,0.11009276
20.953125,261.42438,266.30017,20.507812,0.00011920929,-329058.0,-2511267.0,-0.9894036,-0.118318945,0.51757693
20.234375,259.54108,265.23813,24.414062,0.00074505806,-428654.0,-3523552.0,-1.1437311,-0.15154573,0.12804866
19.5625,259.9136,263.31778,41.992188,0.00032782555,-506922.0,-2254361.0,-0.9362921,-0.17922091,1.7731339
18.90625,260.48096,261.03497,40.039062,-4.8138583e-17,-542936.0,-4523683.0,-0.97877157,-0.19195117,0.004723668
18.296875,258.4253,261.8108,33.203125,0.00017881393,-568042.0,-6013514.0,-1.3689473,-0.20252821,0.0004261732
17.796875,260.71515,263.57333,28.320312,-4.6837537e-17,-459104.0,-5630130.0,-1.3665669,-0.1635449,0.0
17.3125,262.44376,266.64084,26.367188,0.00032782555,-466434.0,-4531973.0,-1.2542493,-0.16659963,0.08749962
17.03125,261.60947,264.9129,37.109375,0.0005364418,-614620.0,-2781373.0,-1.1404641,-0.21720678,0.8586496
16.875,259.4222,259.8894,43.945312,0.00017881393,-697214.0,-4582940.0,-1.0388345,-0.24624076,0.24575292
16.734375,262.6977,265.65106,36.132812,0.000923872,-604938.0,-4118648.0,-1.1603236,-0.21722168,0.21155924
16.546875,255.89223,258.83398,40.039062,0.00029802322,-632968.0,-5394146.0,-1.1518672,-0.22415537,0.017055776
16.328125,260.33142,263.5637,37.109375,8.940697e-05,-587066.0,-4674877.0,-1.1838078,-0.20801276,0.00064373005
16.171875,262.9088,263.65582,33.203125,0.00035762787,-567976.0,-4922032.0,-1.2403057,-0.20103343,0.002104044
16.03125,261.29276,266.0791,27.34375,0.00071525574,-637248.0,-4946721.0,-1.4446341,-0.22841153,0.0136345625
15.875,259.69376,263.99335,22.460938,0.0003874302,-604898.0,-6282834.0,-1.817666,-0.21670759,0.001283596
15.796875,259.61877,264.7546,16.601562,2.9802322e-05,-429268.0,-6380372.0,-1.7660856,-0.15691015,0.0004261732
15.6875,261.794,267.29272,11.71875,0.0014007092,-416618.0,-5869701.0,-1.9209646,-0.15403423,0.0040590763
15.546875,265.4883,268.46527,6.8359375,0.00020861626,-385348.0,-6171430.0,-2.0317063,-0.146823,0.0008597117
15.40625,261.7395,268.25598,5.859375,-3.382711e-17,-426788.0,-5285826.0,-1.8046126,-0.16471744,0.0034719706
15.25,261.88885,267.18167,3.90625,-3.382711e-17,-400312.0,-6457930.0,-2.2893808,-0.15478489,0.0004351138
15.109375,261.84488,267.97766,1.953125,-7.719529e-17,-324530.0,-6193264.0,-2.2127776,-0.12768152,0.0
14.984375,268.55707,269.93112,0.9765625,0.0004172325,-417326.0,-4567002.0,-1.8677638,-0.16539079,0.020700693
14.84375,267.84827,270.24982,0.9765625,0.000834465,-927480.0,-5132396.0,-1.851555,-0.37033203,0.01244545
14.65625,265.98053,271.589,3.90625,0.003784895,-1485648.0,-4816148.0,-2.2132285,-0.5891891,0.395149
14.546875,265.42023,270.00793,4.8828125,0.00011920929,-561464.0,-3345321.0,-1.5561655,-0.22140238,0.25829077
14.421875,262.54364,268.81964,5.859375,0.0005364418,-1393710.0,-5143887.0,-2.1891668,-0.5503502,0.62800944
14.3125,267.76874,270.56686,3.90625,0.03606081,-962608.0,-4889039.0,-1.8849522,-0.3822064,0.355348
14.203125,266.92407,270.6255,3.90625,0.0006854534,-789508.0,-3790433.0,-1.7223358,-0.31237304,0.23946762
14.078125,265.44354,270.9673,5.859375,0.00029802322,-1150064.0,-2908605.0,-1.8389151,-0.45284536,0.16762912
13.953125,269.69434,271.86383,2.9296875,0.0045895576,-1472939.0,-4206389.0,-2.2349617,-0.5844957,0.03350526
13.796875,264.44666,268.3517,27.34375,0.0009834766,-674994.0,-1737795.0,-1.0329522,-0.25962946,3.3593237
13.640625,259.29266,260.24902,65.42969,0.00020861626,-1026536.0,-2711918.0,-0.8759573,-0.3677667,1.5299767
13.5,266.02426,267.99216,45.898438,0.0037550926,-701660.0,-3717667.0,-0.9952113,-0.25564012,0.34511834
13.328125,261.44772,267.79517,39.0625,0.00044703484,-763136.0,-2583909.0,-1.1999011,-0.2796296,0.68053603
13.171875,263.18292,267.99738,37.109375,-2.6020857e-17,-1010100.0,-3561208.0,-1.6283654,-0.36650336,0.009122491
12.96875,263.9439,266.2685,65.42969,0.0004172325,-911540.0,-1870723.0,-0.89770555,-0.32699946,2.4637313
12.8125,264.3883,265.8203,53.710938,0.00017881393,-803704.0,-3899824.0,-1.0063872,-0.2912432,0.011593103
12.625,267.87125,267.8569,39.0625,0.0018775463,-647690.0,-4710243.0,-1.25755,-0.2406789,0.010403991
12.390625,268.97467,270.97278,25.390625,0.0022053719,-832182.0,-4639097.0,-1.6553365,-0.31999034,0.3734827
12.390625,267.65515,269.67172,28.320312,0.009208918,-1650174.0,-4849584.0,-1.7356277,-0.64533854,0.16158819
12.5625,269.69482,271.41296,31.25,0.0012218952,-713608.0,-2140293.0,-1.1920966,-0.27398393,1.9261986
12.390625,269.35132,271.02563,37.109375,0.00014901161,-984162.0,-2719159.0,-1.1071489,-0.37929696,0.56818426
12.125,260.0479,267.19672,31.25,0.0016987324,-2294532.0,-5394515.0,-2.1340437,-0.8892594,0.14746189
11.875,264.3025,269.09583,18.554688,0.0006556511,-1145638.0,-5633508.0,-2.149608,-0.45289284,0.0012859701
11.65625,269.64587,273.67917,9.765625,-4.0332324e-17,-1447328.0,-3699128.0,-1.8903539,-0.5751224,0.001296401
