runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
12.6484375,259.05035,261.27332,120.11719,0.0027418137,-940954.0,-1209370.0,-0.34348667,-0.33198112,3.2117455
12.578125,262.78912,262.9173,215.82031,0.007212162,-454710.0,-1489854.0,-0.16041845,-0.16042031,3.7267804
12.5078125,258.84894,259.91913,272.46094,0.016748905,-101568.0,-1946836.0,-0.035829842,-0.035832636,5.264471
12.4296875,253.96594,247.30573,256.83594,0.018507242,48406.0,-2215517.0,0.01707673,0.01707673,0.32109916
12.375,243.44627,241.50185,241.21094,0.020474195,11604.0,-2910103.0,0.004094094,0.0040931627,0.007784367
12.3046875,247.51878,243.1082,229.49219,0.022262335,9394.0,-2797610.0,0.0033080578,0.0033141114,0.008180828
12.234375,244.83649,244.23962,226.5625,0.023961067,16470.0,-2939135.0,0.005811453,0.0058105215,0.013330579
12.171875,243.34981,242.47424,226.5625,0.026077032,2844.0,-3204765.0,0.0010021031,0.0010021031,0.011670589
12.109375,234.62305,239.4128,225.58594,0.026732683,-3612.0,-3345207.0,-0.0012777746,-0.0012740493,0.0
12.03125,236.89241,243.332,225.58594,0.027418137,-7634.0,-3260998.0,-0.0026896596,-0.002693385,0.0008603894
11.96875,245.00624,248.04315,224.60938,0.027418137,-14006.0,-3163414.0,-0.004939735,-0.0049406663,0.0
11.890625,245.73746,248.82942,224.60938,0.027418137,-10718.0,-3362255.0,-0.0037811697,-0.0037811697,0.00010430813
11.84375,247.70595,247.87439,223.63281,0.028938055,-1264.0,-3571316.0,-0.00044330955,-0.0004461035,0.0017195939
11.765625,246.65324,248.2777,223.63281,0.03054738,-56206.0,-3523813.0,-0.01982972,-0.019829255,0.015291571
11.71875,251.05675,248.85947,229.49219,0.03182888,-136502.0,-3544072.0,-0.048160553,-0.048156828,0.25284588
11.65625,247.85538,245.89848,228.51562,0.032514334,-28496.0,-3814031.0,-0.010050833,-0.010053627,0.0019744039
11.578125,247.7446,246.16438,228.51562,0.03325939,-65482.0,-3640424.0,-0.02310425,-0.023101456,0.0051110983
11.515625,245.79784,246.6912,227.53906,0.033915043,-87766.0,-3802273.0,-0.030964613,-0.03096275,0.0
11.46875,244.7909,247.84312,226.5625,0.034421682,-98878.0,-3962041.0,-0.03488362,-0.03488455,0.00042914826
11.40625,244.47455,249.11865,225.58594,0.034570694,-138582.0,-4108954.0,-0.04889071,-0.04889164,0.0004261732
11.359375,249.34042,252.72086,224.60938,0.035256147,-268230.0,-3863338.0,-0.094629824,-0.094629824,0.0014603138
11.3125,257.7599,261.19714,235.35156,0.036090612,-531174.0,-2011353.0,-0.187397,-0.18739608,1.1841089
11.265625,249.0966,253.0531,253.90625,0.041991472,-260514.0,-4553370.0,-0.09190664,-0.0919085,0.021770597
11.21875,244.5896,247.03221,252.92969,0.041991472,-17944.0,-3933959.0,-0.006329268,-0.0063301995,0.0
11.171875,246.57808,248.70052,251.95312,0.041991472,-59082.0,-3938239.0,-0.020846725,-0.02084393,0.0
11.125,254.43407,257.80554,263.67188,0.044971704,-486562.0,-2977806.0,-0.17165765,-0.17165673,0.52117556
11.09375,248.253,251.8613,262.6953,0.04681945,-140858.0,-3928700.0,-0.049695373,-0.04969444,0.014151633
11.046875,247.11188,248.77089,262.6953,0.04723668,-67106.0,-3963890.0,-0.02367422,-0.02367422,0.0021606684
10.984375,249.84969,253.72641,268.5547,0.049561262,-443242.0,-3174125.0,-0.15637279,-0.15637465,0.45173168
10.953125,247.8765,248.16544,269.53125,0.05057454,-94554.0,-4304237.0,-0.03335625,-0.033358112,0.001475215
10.921875,246.10985,247.89629,269.53125,0.05108118,-72142.0,-4016602.0,-0.025451183,-0.025451183,0.0
10.890625,248.54637,250.2346,268.5547,0.05158782,-104322.0,-3967426.0,-0.03680587,-0.036804006,0.0004336238
10.84375,252.09991,255.48349,267.57812,0.053673983,-239152.0,-3582198.0,-0.084370375,-0.084371306,0.08304417
10.796875,257.17813,259.72482,285.15625,0.056117773,-446738.0,-1503130.0,-0.15760586,-0.15760678,2.0539908
10.75,248.6622,250.69806,289.0625,0.05865097,-128572.0,-4198018.0,-0.04536286,-0.045359135,0.010684133
10.734375,250.05112,250.657,287.10938,0.05915761,-75682.0,-4037294.0,-0.02670288,-0.026700087,0.0004351138
10.734375,249.87933,251.58858,286.1328,0.059485435,-103414.0,-4076532.0,-0.036485493,-0.03648363,0.0
10.734375,247.2848,251.78125,284.1797,0.059992075,-178284.0,-4189496.0,-0.0628978,-0.0628978,0.0012903479
10.734375,251.52673,254.96017,283.20312,0.060409307,-254010.0,-3673459.0,-0.08961558,-0.08961372,0.040608644
10.71875,251.09047,253.86092,282.22656,0.06172061,-258734.0,-4257322.0,-0.09127706,-0.09128079,0.009122491
10.6875,249.91776,253.23143,280.27344,0.06172061,-214206.0,-4532525.0,-0.07557124,-0.07557124,0.0
10.671875,249.28165,254.4035,279.29688,0.06222725,-252970.0,-4516301.0,-0.089243054,-0.08924678,0.001283596
10.640625,251.5504,255.91086,277.34375,0.062674284,-413014.0,-4240732.0,-0.14570355,-0.14570914,0.0022739172
10.625,251.52252,255.49193,274.41406,0.063329935,-399042.0,-4692600.0,-0.14078245,-0.14078058,0.0008702277
10.59375,252.52933,257.2973,272.46094,0.06365776,-499320.0,-4494350.0,-0.17616153,-0.17615873,0.0008597117
10.578125,255.6106,260.05676,270.5078,0.06517768,-704276.0,-3997884.0,-0.24846196,-0.24846476,0.051416457
10.5625,255.28728,260.30862,267.57812,0.06532669,-670382.0,-4485688.0,-0.2365075,-0.23650843,0.0019997358
10.53125,256.5734,261.25305,264.64844,0.06711483,-840746.0,-4291319.0,-0.2966076,-0.29661134,0.032797456
10.5,256.29144,260.80222,262.6953,0.06774068,-944082.0,-3756353.0,-0.33306703,-0.33306795,0.12845099
10.5,254.5963,261.01935,260.7422,0.070005655,-1004256.0,-4266144.0,-0.35429746,-0.35429746,0.060129166
11.078125,257.62115,263.01282,256.83594,0.07241964,-1060840.0,-4723426.0,-0.3742613,-0.3742594,0.009074807
11.265625,256.42804,261.96497,252.92969,0.07414818,-1305248.0,-4173524.0,-0.46048313,-0.46048686,0.044310093
11.171875,256.54364,263.77472,248.04688,0.07414818,-1027164.0,-5229480.0,-0.36238134,-0.3623795,0.0
11.0625,258.94257,266.53952,240.23438,0.074505806,-1310270.0,-5105837.0,-0.4622601,-0.46225822,0.0
10.984375,260.00806,267.64697,222.65625,0.07483363,-1425862.0,-4656683.0,-0.50304085,-0.5030385,0.0028520823
10.921875,257.40057,265.66455,215.82031,0.07686019,-2519708.0,-3572690.0,-0.8889437,-0.8889423,0.1775384
10.84375,260.89355,264.39313,277.34375,0.08049607,-1114201.0,-2178592.0,-0.3930889,-0.3930861,5.401276
10.78125,255.16542,259.63687,280.27344,0.08419156,-927860.0,-4033296.0,-0.32734498,-0.32734498,0.17744899
10.703125,259.35907,262.90527,283.20312,0.0859499,-636578.0,-3261464.0,-0.22458285,-0.22458193,0.63952804
10.640625,263.24496,265.16208,348.6328,0.09122491,-544298.0,-978889.0,-0.19202381,-0.19202614,7.2738976
10.59375,257.12546,259.90845,416.9922,0.09390712,-296526.0,-2855634.0,-0.1046136,-0.10461267,2.7162135
10.546875,255.04425,257.53058,435.54688,0.09852648,-113972.0,-2616698.0,-0.04021451,-0.04020892,1.9492388
10.5,249.36967,246.07121,434.5703,0.10111928,12336.0,-3478456.0,0.004351139,0.0043520704,0.05990565
10.453125,248.86293,244.63869,433.59375,0.10225177,13430.0,-3182703.0,0.0047385693,0.004737638,0.010192394
10.421875,244.08414,243.13815,432.6172,0.10278821,5814.0,-3417072.0,0.002052635,0.0020517036,0.0006213783
10.40625,247.78911,244.35756,431.64062,0.10344386,13508.0,-3448922.0,0.0047683716,0.0047655776,0.0007003546
10.359375,252.96376,253.85336,431.64062,0.10550022,-35294.0,-2602332.0,-0.0124536455,-0.012451783,0.20763278
10.328125,251.16162,251.37587,433.59375,0.10710955,-48568.0,-3701500.0,-0.017136335,-0.017134473,0.047698617
10.296875,248.26538,246.73657,431.64062,0.10803342,-4106.0,-4079264.0,-0.0014491379,-0.0014482066,0.001090765
10.25,246.37213,248.48383,429.6875,0.10803342,-8616.0,-3870363.0,-0.0030361116,-0.0030407682,0.0
10.21875,247.28296,251.0177,427.73438,0.10868907,-20372.0,-3999451.0,-0.007186085,-0.0071879476,0.0012859701
10.234375,249.97008,255.18698,424.8047,0.10868907,-213496.0,-3413578.0,-0.07531792,-0.07531978,0.0041872263
10.28125,258.53598,258.68756,424.8047,0.10931492,-262330.0,-3674148.0,-0.09255111,-0.09254925,0.10381937
10.34375,262.1194,263.7442,441.40625,0.11140108,-431376.0,-1753872.0,-0.15218556,-0.15218742,2.2940934
10.3125,254.78693,258.4596,479.4922,0.11372566,-671574.0,-3811225.0,-0.23692846,-0.23692939,1.1039808
10.28125,251.09247,250.66298,475.58594,0.1141727,-42072.0,-4219078.0,-0.014841557,-0.014842488,0.0011920929
10.21875,252.27972,252.61217,472.65625,0.11566281,-67294.0,-3657146.0,-0.02373755,-0.02374081,0.02118051
10.1875,249.41779,251.21022,469.72656,0.117748976,-159276.0,-4189759.0,-0.05619228,-0.056191348,0.0146999955
10.15625,250.31583,252.89485,465.8203,0.118255615,-78748.0,-4100761.0,-0.027783215,-0.027782284,0.0004261732
10.125,255.86337,255.2752,462.89062,0.118255615,-128184.0,-4129136.0,-0.045225024,-0.04522223,0.0
10.125,255.10281,256.78766,458.98438,0.11861324,-193874.0,-4224688.0,-0.068400055,-0.06839819,0.0011205673
