runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
605.9375,247.00151,261.7909,0.001185296860661822,9.877473838848516e-05,-24420.0,-4758462.0,-3.9023059343890054,-0.02944104426916283,0.0014124788005887012
603.35156,249.67195,265.80988,0.001185296860661822,-1.5810980088986247e-16,-46940.0,-4260559.0,-3.3319681733701145,-0.06012603748217771,0.0
600.91406,253.7708,265.90546,0.0011976437341854052,0.0002963242151654555,-275564.0,-4663007.0,-3.6418247191249975,-0.3629169071928118,0.008529299266868406
598.9922,253.79407,270.39557,0.001185296860661822,9.877473838848516e-05,-314950.0,-2600892.0,-3.282889565525693,-0.41576448950308986,0.13742529247906532
597.3203,249.208,263.24792,0.001185296860661822,0.00019754947677697032,-33604.0,-4795950.0,-3.9455691194234532,-0.04179714707674975,0.005699301697248416
595.9531,248.3723,264.3426,0.001185296860661822,0.0002963242151654555,-15836.0,-4393845.0,-1.7317680089945497,-0.019943236395647546,0.007112078925786136
594.53125,255.53961,266.09705,0.0011976437341854052,9.877473838848516e-05,-31090.0,-4127155.0,-4.152428459747171,-0.03830607830934696,0.0057091797955877155
592.5469,258.50214,266.318,0.001185296860661822,9.877473838848516e-05,-109720.0,-4465102.0,-4.293886036066397,-0.1424949012118759,0.0014421107641382491
590.28125,258.9082,265.68036,0.0011976437341854052,-1.422988226941424e-16,-199524.0,-4785225.0,-2.7731872478398145,-0.26295070654214214,0.0
587.875,257.00177,265.70895,0.0011976437341854052,9.877473838848516e-05,-341888.0,-5054961.0,-3.2938164622464683,-0.45161664274928626,0.002851614611110165
585.625,255.76796,266.383,0.0011976437341854052,-1.523603491097838e-16,-323514.0,-4988167.0,-2.4923213572947134,-0.42809898559426074,0.0
583.4375,264.18472,269.54034,0.0011976437341854052,-2.4147705049395144e-16,-428664.0,-4271031.0,-4.167664314991271,-0.5665101667773342,0.0
581.28125,263.63562,267.27478,0.001185296860661822,0.002469368376445402,-204478.0,-2060364.0,-2.0293392140047217,-0.2699544481288285,0.6992214167667044
579.1094,253.98137,265.09998,0.001185296860661822,9.877473838848516e-05,-171656.0,-4619938.0,-3.368107627466088,-0.22288519829771758,0.0014174171836245364
577.0469,259.43958,266.24033,0.0011976437341854052,-1.422988226941424e-16,-106108.0,-4176002.0,-4.733877972284972,-0.13093517736706417,0.10762495961103014
574.9844,257.1171,264.8145,0.001185296860661822,-1.5810980088986247e-16,-195516.0,-4782902.0,-2.652534021763131,-0.2548573405647403,0.0
572.9844,262.13522,267.86945,0.001185296860661822,0.00039509895355394065,-55300.0,-2106223.0,-3.323399369037361,-0.06537653085558759,2.5321398311461962
570.9219,253.86424,264.94705,0.001185296860661822,-1.5092299089792955e-16,-210404.0,-4847052.0,-4.950318043484003,-0.24687511768206605,0.00014816210758272774
568.75,254.02136,268.08142,0.001185296860661822,-1.422988226941424e-16,-657998.0,-5002103.0,-5.844624411110999,-0.8401686386605434,0.0014223390798484559
566.7344,256.99017,265.51318,0.0011976437341854052,-1.5810980088986247e-16,-208862.0,-4719170.0,-5.0321036724199075,-0.25062546171739086,0.0014124788005887012
564.75,253.77402,265.7228,0.001185296860661822,-1.2217575093019788e-16,-291434.0,-4896528.0,-3.601450316637056,-0.3714269638521728,0.0
562.9844,255.20912,267.55847,0.001185296860661822,9.877473838848516e-05,-422894.0,-4368365.0,-4.796217353941756,-0.539732909032864,0.002824957268110495
561.4844,257.26263,268.06873,0.001185296860661822,-1.5523506553349227e-16,-536038.0,-4930232.0,-3.260344442423957,-0.7022236019338379,0.0
559.9375,259.23608,267.15137,0.0011976437341854052,-1.523603491097838e-16,-472310.0,-3863632.0,-3.365922111697728,-0.6099247400470631,0.8000259867912973
558.1875,260.63275,267.34503,0.0011976437341854052,-1.0780213094633204e-16,-542256.0,-4824014.0,-4.00810597511736,-0.7072271301922228,0.0
556.375,247.9575,262.33875,0.0011976437341854052,-7.977359375035465e-17,-117916.0,-3605156.0,-3.8839336866658414,-0.1387013384146485,0.34422996719740695
554.375,241.44637,265.08395,0.0011976437341854052,9.877473838848516e-05,-107132.0,-4564849.0,-3.858474883600138,-0.12624028755681138,0.0030718940724483446
