runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
906.33594,262.7691,268.13855,0.02474985549838493,0.002113866748310045,-831382.0,-5172668.0,-23.756954760756344,-3.92913887026225,0.005038048978001086
902.3125,266.41803,272.48956,0.024926010588899317,-5.639482550406953e-16,-997878.0,-4383744.0,-25.851355530903675,-4.716389071290905,0.0
898.40625,270.41534,274.98944,0.024970050027661728,0.005636977551404243,-2000002.0,-4259383.0,-35.34209008648759,-9.453476423004759,0.03042242191497735
894.5,274.2882,278.1983,0.02510216834394896,0.002113866748310045,-1844812.0,-3876267.0,-27.53373064479092,-8.720735195311136,0.010146560258661452
891.3047,276.70605,278.4159,0.025190244556938524,1.2281565204830258,-698860.0,-550150.0,-8.97235122465645,-3.303841594970436,7.15868009137921
889.1328,261.50122,273.77032,0.025278323434463346,0.00810315547994378,-1412554.0,-2928822.0,-27.413944735599216,-6.676681095996173,0.02536746279702129
887.28125,262.85797,269.11072,0.02541043908621532,0.004580044676849582,-1862508.0,-4677326.0,-25.588708922441583,-8.804232948023127,0.020363581487714555
884.6094,270.83612,272.58167,0.025542554737967293,0.002113866748310045,-1218040.0,-4389017.0,-24.320916054421104,-5.757644430559594,0.005143740766655469
880.7969,271.10547,275.11005,0.025630633615492115,-5.075534219635611e-16,-1659162.0,-4510614.0,-22.708961751050083,-7.843050752853742,0.0
876.6875,272.7303,276.60544,0.025674673054254527,0.002113866748310045,-1910228.0,-4554058.0,-31.476354706683196,-9.029821967487806,0.010171178566054095
872.875,269.71912,274.86346,0.0258067887060065,-5.434410395703444e-16,-1825650.0,-4595422.0,-34.86955210973974,-8.630015145172365,0.0
869.6406,269.88394,274.52277,0.025894867583531322,-8.613037313305616e-16,-1259338.0,-3061702.0,-27.869484256370924,-5.9526921631913865,0.0
866.9531,272.9579,275.97205,0.025982943796520885,0.03875422383003979,-1080750.0,-1961055.0,-22.8923390750424,-5.108797267894261,0.26905999561677163
864.46875,274.40326,276.69373,0.026071022674045707,0.0017615555680805528,-1207584.0,-2612160.0,-17.3474031726073,-5.708403136850393,0.005055663221398277
861.6094,273.33215,277.40244,0.02615910155157053,0.0007046221939255304,-1486580.0,-3360772.0,-21.7458314182295,-7.027264018688584,0.005143740766655469
858.4531,265.1796,273.55865,0.026247177764560092,-5.639482550406953e-16,-1774066.0,-4599289.0,-38.4500463042059,-8.386237368540606,0.0
855.125,266.3325,271.38702,0.026335256642084914,-5.383142262364258e-16,-1672452.0,-5048177.0,-27.005264200852253,-7.905894563009497,0.0
851.7969,265.78418,276.5447,0.026335256642084914,-5.383142262364258e-16,-2115418.0,-4633476.0,-57.00622932636179,-9.999844451158424,0.0
848.6406,266.46277,275.28845,0.026423332855074477,0.0003523110969627652,-2057994.0,-5136341.0,-32.24959073122591,-9.728399845698732,0.005073218845019767
845.21875,271.19135,277.4214,0.0265114117325993,-5.639482550406953e-16,-1741154.0,-2797405.0,-40.41968441015342,-8.230648290918907,0.005038048978001086
841.8281,269.30917,274.0529,0.02659949061012412,-4.3577814888467107e-16,-2204640.0,-3426644.0,-30.21834072569618,-10.41788368638663,28.54072408808861
838.7969,269.62708,270.32214,0.026687566823113684,0.009512400200861748,-1599688.0,-4902614.0,-22.830904526927043,-7.561939810329932,0.010076097289868358
836.125,272.081,275.13904,0.026687566823113684,-5.536945905075347e-16,-1805824.0,-4283008.0,-31.854077860771213,-8.53545270729228,0.0
833.8281,276.82788,277.6338,0.026775645700638506,2.266769683956227,-958990.0,-502395.0,-13.607311757368734,-4.5327467432798585,18.48153715400258
832.46875,273.30267,276.638,0.026819682474865658,-3.845101670067789e-16,-1326936.0,-1362827.0,-20.77217595797265,-6.272492328207591,0.005108511280660366
831.2344,273.97314,277.06726,0.02690776135239048,-2.845375531199687e-16,-1720330.0,-3759932.0,-23.279530068975873,-8.132221637424664,0.0
828.34375,265.7979,273.28317,0.02695180079115289,0.002466177762006083,-1528884.0,-2793922.0,-31.48216910631163,-7.226891511891154,0.010164174168991735
823.8906,266.98492,272.9818,0.027039877004142454,0.0031707999559316136,-1444448.0,-2400811.0,-32.43534592911601,-6.8263800585555146,7.364359362327377
819.1094,268.48834,272.70102,0.027083916442904865,0.002466177762006083,-1122276.0,-1763457.0,-15.920807072689058,-5.168073585082311,0.17760003601097196
815.7656,261.605,269.88223,0.027127955881667276,-5.229338240999934e-16,-2241880.0,-4232889.0,-35.04782307572896,-10.198361451330129,0.0
813.59375,263.89893,270.28302,0.027216034759192098,-5.690750305092905e-16,-1193916.0,-3049375.0,-22.014247406332288,-5.51406549220701,0.0
811.28125,266.1167,271.44946,0.027216034759192098,0.002113866748310045,-1055704.0,-2468857.0,-23.245268494065385,-4.853272685068077,0.005038048978001086
