runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
16488.195,265.107,269.46277,0.9849490822944063,0.000697432528395936,-1997774.0,-5273194.0,-13.236019640316954,-3.1157907187662204,0.0016622141996158746
16251.516,269.19928,272.76495,0.9783234702354093,-1.8606463323374326e-16,-2005368.0,-4805380.0,-9.785326938072103,-3.1276360914489487,0.0
16074.836,271.10284,276.60468,0.9717269335851597,0.001278626288181428,-2107726.0,-3919801.0,-13.735294032812817,-3.287275603724993,0.01003733429705278
15985.672,275.02844,279.80573,0.9650431707086682,0.0005811937597854921,-2481518.0,-4714333.0,-10.73296425602166,-3.87025272630126,0.0033476761363004925
16030.445,278.67285,285.28894,0.958359493097305,0.0015111037421355888,-2156864.0,-2043214.0,-11.77472404378932,-3.3639166758803185,0.006706975641534996
16023.766,270.60864,275.73322,0.9519082482256636,0.2072536915420642,-1786142.0,-2016038.0,-14.418371392821427,-2.7853076858264103,3.1235682627084316
15905.883,269.5943,273.94666,0.9455441443151358,0.000697432528395936,-1934162.0,-4690866.0,-11.921169971174095,-3.011023409271729,0.006718599676602821
15686.906,267.30487,271.30237,0.9390928994434944,0.000697432528395936,-2070540.0,-4950058.0,-11.115810821138439,-3.2277578156936215,0.0016970853056186286
15444.6875,273.7832,274.21356,0.9326125791631057,0.0010461488342272673,-2018350.0,-4533201.0,-9.723270295580733,-3.147912480017112,0.0
15221.453,275.19122,277.28513,0.9261758293632738,0.0008136712970063797,-2158424.0,-4609630.0,-9.681961728347233,-3.366539431226556,0.0033557986389709527
15049.828,275.7074,278.28925,0.9196810140110756,-1.7929864898030954e-16,-2424224.0,-4832726.0,-11.984564935119124,-3.781137706937443,0.0
14956.641,272.5363,277.61456,0.9133314904374856,-2.841717740954358e-16,-1463494.0,-2917905.0,-11.276496707068873,-2.2813670739196823,0.0
14947.922,277.77234,278.58337,0.9073307012386067,0.6058364050431919,-1487424.0,-1255937.0,-5.648666046909057,-2.3199292513709224,11.964042641920969
14965.734,276.85638,279.58044,0.9015186890337645,0.0024410138910191392,-1032552.0,-1034777.0,-5.747352588514332,-1.6104498854474514,0.05754980492156392
14883.672,275.2384,279.27353,0.895619621132937,0.00011623875820210294,-1366348.0,-1658274.0,-8.004128176253289,-2.130997927451972,0.03168668527564478
14736.844,274.64444,279.5235,0.8896913925582339,-1.8606463323374326e-16,-1485990.0,-1816897.0,-10.170425866817823,-2.3175936689767695,0.1754333425196819
14651.594,270.80124,275.2425,0.8836761082875455,-1.776071671164474e-16,-2102664.0,-4275140.0,-12.225904811202781,-3.279378688603174,0.0
14701.5625,272.5498,277.46658,0.8776025879342342,-1.776071671164474e-16,-2364974.0,-4416024.0,-14.81675053582876,-3.688484525810054,0.0
14876.0625,270.63464,276.8451,0.8714128512110619,0.00011623875820210294,-2913346.0,-5231986.0,-13.37094454356702,-4.543744239526859,0.0016738179176023493
15086.406,276.373,279.81787,0.8653829866034357,-1.8606463323374326e-16,-1838622.0,-2847072.0,-12.860045444540447,-2.8675736984951072,0.0016622141996158746
15245.391,275.02597,279.256,0.8593531219958095,-1.4377721745028623e-16,-2735324.0,-4508703.0,-17.701593151286943,-4.266096766514238,0.0
15345.656,272.46497,276.75574,0.8534539688298537,0.001278626288181428,-1488036.0,-2408987.0,-9.704657259135274,-2.320786677501019,0.0033244280661648418
15398.719,274.69232,278.6078,0.8476711172988871,-1.8268163164069554e-16,-2256598.0,-4235054.0,-13.066354313195916,-3.519462438816845,0.0
15382.734,280.32202,283.02246,0.8417865444698691,-1.7929864898030954e-16,-2240774.0,-3211753.0,-11.868354704347439,-3.4947836411447497,0.0
15282.141,279.7304,281.28644,0.836294276496119,0.13274466326151924,-1134326.0,-656553.0,-2.2610472001360904,-1.7691284597276535,6.559469511557836
15106.391,276.81885,281.411,0.8308891494834825,0.006974325117425906,-1794520.0,-1657771.0,-8.916267915992648,-2.7987894668513036,0.015605053249601042
14913.641,269.1065,274.80075,0.825484022470846,0.003254685188025519,-1294076.0,-1135371.0,-9.949660125130322,-2.0132152371843404,3.6897201880492503
14908.266,271.9654,275.24548,0.8201806167562609,0.2895507407174591,-1529546.0,-1317472.0,-8.809866585579584,-2.3257593397829623,1.631643385735515
15293.4375,274.4239,274.61703,0.8150370831572218,0.6615147469801741,-1136838.0,-386131.0,-1.9648854276965722,-1.779215665465017,16.371252513636136
16017.6875,268.72806,274.40176,0.8098935495581827,-1.7253266472687582e-16,-1960846.0,-2530894.0,-9.755598739502602,-2.994531769218156,0.0023247750391419686
16611.734,267.42822,275.2049,0.8045465733630408,-1.8775613403026712e-16,-2449124.0,-3098268.0,-12.766298823407851,-3.761435323212936,0.0
16690.36,273.81592,276.11353,0.7992867381290125,0.6737198106065989,-1403700.0,-1632735.0,-7.163590680647758,-2.17900441157326,2.1408912402876012
16335.469,274.3968,277.34872,0.7942303454910871,0.0058119375978549215,-1415480.0,-1480881.0,-6.236906756384997,-2.2062259859012556,0.052481800238979304
15782.719,275.36563,277.8596,0.7893192446317698,0.21260068905348817,-1006778.0,-1033464.0,-4.137649284530198,-1.5702765381320205,1.0156360872315418
15267.5,270.2501,275.57306,0.7842628519938444,-9.387808594779528e-17,-2501072.0,-3618250.0,-13.950437733001309,-3.8955239460847224,0.0
14999.5625,268.06088,274.2019,0.7789740266161971,0.00046495503280841177,-3047368.0,-5127779.0,-17.117056358983973,-4.748327683046227,0.0016970853056186286
15080.375,270.6059,274.83466,0.7737432667909161,-9.134083475300949e-17,-2864218.0,-4543166.0,-12.73171801585704,-4.466608629627444,0.0
15389.391,273.71252,277.24414,0.7684544414132688,0.0009299100656168235,-3385468.0,-4475695.0,-13.419154129223898,-5.280014761410712,0.005032776528857141
15755.172,266.12244,272.23947,0.7632527569967351,0.00011623875820210294,-2746498.0,-5281716.0,-16.74332088441588,-4.283063844923163,0.0016970853056186286
16115.766,267.27405,270.06403,0.758138213541315,0.0015111037421355888,-2700758.0,-5559969.0,-11.628380434558494,-4.2121150727325585,0.0033244280661648418
16469.422,269.6287,275.33887,0.752994679942276,-9.387808594779528e-17,-3156132.0,-5357154.0,-14.909190213074908,-4.922362677461933,0.0
16809.938,275.39297,280.82733,0.747763920116995,0.0016273425940127595,-3644500.0,-4613028.0,-19.324547338328557,-5.684062671207357,0.008900440384707053
17083.016,274.36877,278.34055,0.7424750094742194,-9.387808594779528e-17,-3504500.0,-5108429.0,-15.294259810616495,-5.465724257192051,0.0016622141996158746
17220.062,276.7198,278.60718,0.7373459709469898,0.0016273425940127595,-3597418.0,-4745485.0,-15.120874195417855,-5.610644620901439,0.003394171277371072
17324.125,279.90042,285.52582,0.7322024373479508,0.0008136712970063797,-4106226.0,-4085694.0,-18.71661925179069,-6.40419966657646,0.003353155419993925
17557.203,285.07544,287.03137,0.7273204118973808,0.059979194944048686,-2070820.0,-1036792.0,-7.672847914363956,-3.2297155030391878,3.923290364582499
17674.547,279.50995,281.12112,0.7226418290429137,-1.319367402736118e-16,-2329336.0,-2551940.0,-12.6623667711101,-3.6329080330688157,0.013088483630241399
17553.703,276.2648,280.19446,0.7177016527748492,-3.0108674419535095e-16,-3755470.0,-4471554.0,-14.394716799870366,-5.857144060428254,0.0
17367.844,272.13324,277.3159,0.7126597978412974,0.00023247751640420589,-3626784.0,-4765607.0,-18.775333501253044,-5.656446660395886,0.0016970853056186286
17206.047,273.5338,278.85138,0.7076615560208666,0.0008136712970063797,-3496524.0,-5005114.0,-17.719348761602305,-5.453286803458468,0.0033244280661648418
17050.875,282.12897,282.4757,0.7031282223124435,0.7649672681964148,-2670814.0,-295946.0,-5.857677479070844,-4.165484597251634,21.78593194912537
16885.969,278.00226,281.55286,0.6989145902025484,0.001278626288181428,-1492950.0,-791287.0,-6.477172291852185,-2.3284509893528593,0.1257470820803519
16691.484,274.84833,280.51495,0.6944393646790559,0.035336581660772026,-2440498.0,-2046172.0,-11.780449767684331,-3.8062779594838503,0.08485428892868185
16405.953,275.96796,281.16843,0.6900222899730579,-1.8606463323374326e-16,-2421376.0,-1907438.0,-10.209264473814983,-3.776513608499954,0.0
16036.8125,278.89087,282.06104,0.6856342906758073,0.0016273425940127595,-2491748.0,-1817903.0,-10.15476300381124,-3.8862593783051125,0.01780777658666466
15644.484,280.7072,280.74854,0.6815659503445204,0.7992576627202652,-1359882.0,-742086.0,-2.1972902004563366,-2.120939541327971,15.673075722588692
15246.984,272.8994,279.98492,0.677555718198164,-1.6069219701653225e-16,-3036751.0,-2311472.0,-14.440819995797938,-4.7362080977109144,0.027926359891239372
14823.406,274.5775,274.9357,0.673603594236738,0.812973837582831,-1965548.0,-508795.0,-3.845672154056956,-3.071307560276182,50.82140523882117
14361.875,274.79657,275.30566,0.6701018833155103,0.6938291221558757,-1077860.0,-426985.0,-1.704103738120466,-1.6904546669138654,35.25332431308925
13901.734,273.78793,277.31638,0.6668036149903855,-1.6745818126996597e-16,-4017010.0,-4234981.0,-14.749288766324753,-6.2481944951287005,0.0
13474.9375,274.60593,280.87524,0.6634762712565134,-1.6069219701653225e-16,-4945014.0,-4066066.0,-21.315077447070507,-7.696613010921283,0.0
13100.5625,270.6048,279.43488,0.6604395537124219,0.00023247751640420589,-3626514.0,-3012163.0,-17.808604297897546,-5.655215431943361,0.0016970853056186286
12803.906,268.04352,277.15912,0.6576207738362427,0.000348716264197968,-3168234.0,-2483513.0,-14.740759525011526,-4.940932058161707,0.0016970853056186286
