runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
282.8828,249.70464,249.828,198.24219,0.06106496,12338.0,-2920371.0,-0.00010430813,0.0044098124,0.0033318996
280.2422,250.01765,250.03448,197.26562,0.06362796,41248.0,-3132701.0,0.009305775,0.014594756,0.00090897083
277.10156,251.44853,251.10468,196.28906,0.066012144,9824.0,-2229380.0,-0.0017434359,0.0034719706,0.012952119
273.8125,253.505,253.45221,195.3125,0.0667572,2224.0,-1665659.0,-0.0040121377,0.0007925555,0.011482835
270.54688,267.49902,265.6444,196.28906,0.070124865,169472.0,-337652.0,0.05339086,0.05986169,0.7668942
267.41406,250.97777,254.91875,202.14844,0.07149577,-521402.0,-3423767.0,-0.195086,-0.18394879,0.09818384
264.45312,252.9029,254.71033,202.14844,0.072568655,-126234.0,-2934093.0,-0.053729862,-0.044533983,0.024864078
261.67188,250.88887,250.93518,201.17188,0.07393956,-11068.0,-2862544.0,-0.01078099,-0.003886409,0.0004351138
259.125,252.93555,251.89326,201.17188,0.075638294,30128.0,-2510629.0,0.0048168004,0.010662712,0.006131828
256.8125,252.31624,250.56833,200.19531,0.0782907,26560.0,-2733444.0,0.003054738,0.009383075,0.021170672
254.75,251.62343,251.83026,199.21875,0.07933378,-15134.0,-2042689.0,-0.011309981,-0.0053197145,0.011622906
252.92188,253.43082,253.0052,198.24219,0.080645084,31610.0,-2752528.0,0.0034943223,0.011190772,0.0
251.3125,254.11806,253.11658,196.28906,0.082850456,-8552.0,-2495871.0,-0.0100545585,-0.003005378,0.0017195939
249.85938,254.85246,251.79723,195.3125,0.08434057,4344.0,-2910001.0,-0.005338341,0.0015376136,0.000502169
248.48438,252.29503,249.66415,194.33594,0.08511543,-15130.0,-2976132.0,-0.011831522,-0.005332753,0.0004351138
247.20312,251.47842,251.42778,193.35938,0.085651875,-19202.0,-2060621.0,-0.011835247,-0.0067520887,0.011578202
246.01562,254.78171,255.03352,193.35938,0.08776784,-8474.0,-2714555.0,-0.0107213855,-0.003005378,0.019803643
244.8125,255.00291,256.1658,192.38281,0.09068847,-58754.0,-2269387.0,-0.028684735,-0.020733103,0.030070543
243.6875,253.1073,254.14977,194.33594,0.09286404,-145920.0,-3117888.0,-0.05914271,-0.051466748,0.020799035
242.6875,253.24994,254.26709,193.35938,0.09423494,-44540.0,-2803142.0,-0.02308935,-0.015727244,0.0004261732
241.75,256.95956,254.34,192.38281,0.09572506,-106084.0,-2148280.0,-0.045016408,-0.03742613,0.057533383
240.8125,255.44154,254.25769,191.40625,0.096559525,-37156.0,-2446873.0,-0.019375235,-0.01310464,0.0078856945
239.92188,255.1552,252.7445,190.42969,0.09790063,-55542.0,-3028737.0,-0.02586469,-0.019586645,0.002771616
239.09375,252.7732,252.1455,189.45312,0.09870529,-66240.0,-2687798.0,-0.0295192,-0.023356639,0.0055730343
238.3125,256.63666,257.9251,188.47656,0.09953976,-89220.0,-766197.0,-0.037148595,-0.031488948,0.06830692
237.64062,263.3755,263.41296,199.21875,0.10091066,-58548.0,-471209.0,-0.02747029,-0.020673499,2.1259189
237.0,250.22566,253.53903,200.19531,0.101685524,-465872.0,-4022333.0,-0.17724186,-0.16435795,0.0037580729
236.34375,251.43024,251.89394,199.21875,0.102460384,-112444.0,-3390007.0,-0.050269067,-0.03965851,0.00043213367
235.71875,252.90047,253.69907,197.26562,0.10380149,-117086.0,-2047951.0,-0.050012022,-0.041309744,0.0024914742
235.125,255.08157,254.78262,196.28906,0.10544062,-84672.0,-2635984.0,-0.040516257,-0.029851682,0.06225705
234.5625,253.13133,253.3123,195.3125,0.10737777,-111090.0,-3427994.0,-0.050358474,-0.039167702,0.0
234.0,253.56786,252.6096,194.33594,0.107467175,-103912.0,-3226134.0,-0.04761666,-0.03665313,0.0004261732
233.39062,257.10577,257.41318,192.38281,0.107735395,-75612.0,-2532215.0,-0.038690865,-0.026678666,0.020056963
232.75,254.1293,251.70139,191.40625,0.1078248,-145530.0,-3400489.0,-0.061351806,-0.051343814,0.0
232.125,254.34384,251.76642,190.42969,0.1078248,-102144.0,-3128704.0,-0.045079738,-0.036034733,0.001296401
231.51562,253.64682,254.35817,189.45312,0.10842085,-123728.0,-2508237.0,-0.05236268,-0.043639913,0.011596084
230.90625,257.2055,256.74286,187.5,0.10916591,-239106.0,-2595890.0,-0.09753555,-0.08436572,0.008314848
230.35938,253.60902,257.56445,190.42969,0.109285116,-348394.0,-2154973.0,-0.1353845,-0.122917816,0.5319356
229.85938,246.6654,249.88791,188.47656,0.10922551,-356648.0,-3617185.0,-0.1354441,-0.125824,0.046285987
229.375,251.00453,254.74959,188.47656,0.10955334,-378710.0,-2582675.0,-0.14881045,-0.13360894,0.10152459
228.875,253.30838,254.9951,189.45312,0.10997057,-469236.0,-3078858.0,-0.18200651,-0.16554537,0.030457973
228.15625,255.88907,256.89374,188.47656,0.11077523,-325286.0,-2390108.0,-0.129655,-0.114785045,0.1912287
227.53125,255.1754,255.84836,187.5,0.11181831,-282518.0,-2879435.0,-0.11320412,-0.099679455,0.044883788
227.125,260.13385,260.59155,186.52344,0.11265278,-344704.0,-2141747.0,-0.14071539,-0.12161862,0.14109015
226.78125,261.96878,261.8813,190.42969,0.113755465,-520326.0,-2000758.0,-0.20689517,-0.1835702,0.31871638
226.46875,260.55786,260.24622,187.5,0.11384487,-263136.0,-3595039.0,-0.11273101,-0.09283703,0.0
226.15625,261.0158,261.3594,185.54688,0.1141727,-262514.0,-2693398.0,-0.10818988,-0.09262189,0.0024616718
225.84375,263.90152,264.57922,182.61719,0.114262104,-387190.0,-1443183.0,-0.1527667,-0.13659987,0.0
225.51562,264.0141,265.90378,179.6875,0.115543604,-713120.0,-1793900.0,-0.27749687,-0.25158748,0.08273423
225.375,261.10022,258.9295,176.75781,0.11610985,-580842.0,-3974637.0,-0.23093447,-0.2049124,0.0008523463
225.8125,259.63483,260.38977,174.80469,0.11613965,-477344.0,-3478050.0,-0.1902692,-0.16841757,4.4703484e-05
