runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
602.25,247.36284,260.52527,1.953125,2.9802322e-05,-32640.0,-4260685.0,-0.77178705,-0.011734664,0.0004261732
599.4844,247.54695,261.53058,1.953125,-4.7704902e-17,-28286.0,-3915086.0,-0.6873086,-0.010205433,0.0
597.60156,252.31181,264.38202,1.953125,8.940697e-05,-30716.0,-4218930.0,-0.5624667,-0.011482276,0.0025734608
595.6875,253.2218,267.62213,1.953125,2.9802322e-05,-33718.0,-3045092.0,-0.92186034,-0.012186356,0.0008583069
594.1719,249.25682,258.87097,0.9765625,5.9604645e-05,-22336.0,-4673971.0,-0.78743327,-0.008041039,0.0017195939
592.90625,251.26683,261.96954,0.9765625,8.940697e-05,-17650.0,-3712624.0,-0.50646067,-0.006447546,0.002145857
590.90625,256.18414,263.32947,0.9765625,2.9802322e-05,-25030.0,-3377844.0,-0.73257834,-0.009052455,0.0024080274
588.7656,258.633,263.32776,0.9765625,2.9802322e-05,-41504.0,-4183159.0,-0.77955794,-0.015718862,0.0004351138
586.3594,257.47852,263.1159,0.9765625,2.9802322e-05,-47216.0,-4503361.0,-0.6618463,-0.018165447,0.0
584.15625,253.33186,264.416,0.9765625,2.9802322e-05,-50700.0,-4690580.0,-0.62678754,-0.019663945,0.0008603894
581.9844,256.11365,264.174,0.9765625,-4.597018e-17,-22360.0,-4322595.0,-0.6275512,-0.008336268,0.0
579.8125,261.00113,266.3841,0.9765625,-7.285848e-17,-30948.0,-4107319.0,-0.5482025,-0.01186505,0.0
577.625,253.67079,262.5736,2.9296875,5.9604645e-05,-51472.0,-1923862.0,-0.77182424,-0.019202009,0.2456665
575.65625,255.79973,264.43787,2.9296875,2.9802322e-05,-35500.0,-4264127.0,-0.6324165,-0.012802891,0.0004276632
573.53125,258.62708,262.70517,3.90625,-4.2934413e-17,-79988.0,-4251287.0,-0.9402596,-0.028564595,0.00320673
571.4844,258.44522,263.60358,3.90625,0.00011920929,-88914.0,-4301604.0,-0.63091886,-0.033549033,0.0
569.3906,259.94772,265.0335,4.8828125,0.00011920929,-63354.0,-1956824.0,-0.63285977,-0.02253335,0.18192828
567.2969,252.37401,263.39236,5.859375,-4.5536498e-17,-127288.0,-4685570.0,-1.1595414,-0.045154244,0.0
565.3281,255.703,266.17126,4.8828125,-4.2934413e-17,-107410.0,-4411828.0,-0.9950176,-0.038302504,0.00042914826
563.3594,255.48431,262.35107,4.8828125,-4.7704902e-17,-99840.0,-4560447.0,-1.0694041,-0.035403296,0.00067204237
561.46875,256.1783,263.00797,4.8828125,-3.6862877e-17,-82008.0,-4396102.0,-0.79600143,-0.029468909,0.0
559.8906,255.15639,265.25964,4.8828125,2.9802322e-05,-95180.0,-4016013.0,-0.9740405,-0.034009106,0.00085234636
558.3125,256.09076,267.68982,3.90625,-4.6837537e-17,-116572.0,-4068863.0,-0.7311441,-0.043924898,0.0
556.6875,259.52905,267.4131,3.90625,-4.597018e-17,-220820.0,-4215732.0,-0.9725839,-0.085468404,0.0
555.0469,260.6894,267.9251,2.9296875,-3.252607e-17,-240568.0,-4307736.0,-0.8212328,-0.094439834,0.0
553.3125,242.77196,256.82507,2.9296875,-2.4069295e-17,-60696.0,-3808144.0,-0.96816194,-0.021561049,0.014312565
551.4375,238.75691,262.11325,2.9296875,2.9802322e-05,-49232.0,-4208773.0,-0.787694,-0.017623417,0.0008597969
549.375,245.85211,263.5111,6.8359375,-3.4694476e-17,-115504.0,-2523374.0,-0.8190237,-0.040993094,0.20046532
547.40625,250.55867,260.2264,4.8828125,2.9802322e-05,-81662.0,-4947665.0,-0.79960376,-0.029024668,0.0004351138
545.7656,249.79056,259.87833,4.8828125,2.9802322e-05,-62436.0,-4989329.0,-0.6291643,-0.022470951,0.0
544.34375,249.57664,260.27325,4.8828125,-4.8138583e-17,-73026.0,-4652476.0,-0.82125515,-0.026015565,0.0
542.90625,261.40186,263.11743,7.8125,5.9604645e-05,-112106.0,-3028755.0,-0.6467141,-0.039734878,0.22418946
541.375,263.11163,266.1866,13.671875,0.0003874302,-137200.0,-2301056.0,-0.4717782,-0.04930049,0.7240921
539.7969,253.17813,261.09787,11.71875,-2.3852454e-17,-306008.0,-4611170.0,-1.0566823,-0.11126418,0.0
538.3281,253.16025,263.07697,10.7421875,-2.4069295e-17,-251434.0,-4425257.0,-1.26395,-0.08893572,0.0
537.15625,255.87534,265.4773,8.7890625,2.9802322e-05,-155522.0,-4659132.0,-0.7963106,-0.05615782,0.0004351138
535.75,255.30511,266.13348,7.8125,-2.3418772e-17,-233200.0,-4616437.0,-1.32972,-0.0829855,0.0
534.0625,249.7848,262.55078,7.8125,2.9802322e-05,-160220.0,-4762949.0,-1.139462,-0.05677808,0.0012903479
532.53125,252.1576,264.7297,6.8359375,-2.4069295e-17,-139898.0,-4932778.0,-0.9330809,-0.049977563,0.0004351138
531.2344,254.96352,265.90192,5.859375,2.9802322e-05,-243328.0,-5019280.0,-1.0622814,-0.09164074,0.0008523463
530.78125,257.5994,267.35645,5.859375,-2.4069295e-17,-210448.0,-4208531.0,-1.5692674,-0.075681135,0.0
532.375,257.2172,266.75507,3.90625,5.9604645e-05,-284538.0,-4970535.0,-1.0793507,-0.10975963,0.001283596
538.4531,254.65001,267.16476,3.90625,-2.4069295e-17,-287868.0,-4936633.0,-1.5701652,-0.10944251,0.0004261732
546.3906,256.57526,269.56226,2.9296875,2.9802322e-05,-393024.0,-4787930.0,-1.5609599,-0.15283284,0.0008702277
552.4844,261.90237,272.0219,1.953125,2.9802322e-05,-548562.0,-4337028.0,-1.850985,-0.21609199,0.0008597117
554.9219,255.91528,267.68958,1.953125,-3.382711e-17,-200178.0,-5090285.0,-2.2243485,-0.07674005,0.0
552.59375,254.35368,269.61722,0.9765625,-3.382711e-17,-501416.0,-5124012.0,-1.3118684,-0.19963366,0.0004351138
547.21875,259.36246,269.64563,0.9765625,-7.719529e-17,-462976.0,-5452666.0,-1.5808568,-0.18428919,0.0
541.46875,256.6723,271.5112,0.9765625,-2.2985091e-17,-380166.0,-4354535.0,-1.8295385,-0.15108007,0.0004351138
537.0156,271.34436,272.72833,0.9765625,2.9802322e-05,-351522.0,-3129559.0,-1.1962913,-0.13959035,0.03335178
533.5625,260.627,270.87415,0.9765625,-2.4069295e-17,-379076.0,-4132508.0,-2.1631308,-0.14963187,0.0028163195
530.5469,240.03741,258.213,3.90625,2.9802322e-05,-117374.0,-5290786.0,-1.5855207,-0.041593798,0.003391504
528.4375,239.19794,263.18292,3.90625,-4.4669136e-17,-79900.0,-5918055.0,-1.1764579,-0.028534792,0.0
527.1406,252.73552,267.22702,2.9296875,-4.7704902e-17,-207628.0,-5279400.0,-1.8134043,-0.07728301,0.0
526.1875,245.1643,264.82275,3.90625,2.9802322e-05,-138490.0,-4026992.0,-1.6600416,-0.04916452,0.13150871
525.15625,248.85759,265.04346,3.90625,5.9604645e-05,-113128.0,-4824734.0,-1.5584455,-0.040252693,0.045081973
523.9844,247.34474,266.12946,3.90625,-4.119969e-17,-152259.0,-5333862.0,-1.4045275,-0.056279823,0.0
522.875,253.93886,267.65445,6.8359375,8.940697e-05,-287992.0,-3424635.0,-1.2908354,-0.10594539,0.36645532
521.9844,250.45088,266.21387,5.859375,-2.4069295e-17,-256526.0,-5323041.0,-2.0146556,-0.0914447,0.0
521.2031,253.69418,269.15036,3.90625,-4.2934413e-17,-479848.0,-5555376.0,-2.5719442,-0.18030451,0.0
521.2969,248.311,265.19165,7.8125,-4.119969e-17,-210806.0,-3918628.0,-1.8317103,-0.07569371,0.57919323
521.0,248.77277,265.20245,6.8359375,2.9802322e-05,-257938.0,-5950316.0,-1.2301989,-0.096517615,0.0004351138
519.7969,248.18217,266.59857,5.859375,2.9802322e-05,-280142.0,-5635126.0,-1.6698539,-0.10336097,0.0004351138
518.75,253.05434,268.96484,4.8828125,-4.8138583e-17,-424730.0,-5664728.0,-2.1047592,-0.16076118,0.0
519.375,255.14664,270.5034,2.9296875,-4.727122e-17,-484508.0,-5593166.0,-2.53189,-0.186285,0.0004276632
519.84375,254.4356,272.92004,1.953125,-4.727122e-17,-563874.0,-5451225.0,-2.6749632,-0.22119097,0.0
519.2031,243.56532,264.33383,1.953125,-4.5102814e-17,-95552.0,-5244800.0,-2.2520795,-0.03511738,0.0
516.9844,245.82373,265.74695,0.9765625,-4.7704902e-17,-177210.0,-6007984.0,-1.6935394,-0.06892998,0.0
513.9844,249.11108,268.27173,0.9765625,-4.2067048e-17,-311300.0,-5847560.0,-2.173718,-0.12221001,0.0004351138
510.1875,253.77057,272.32953,0.9765625,-2.3852454e-17,-440962.0,-5935504.0,-2.3461468,-0.17507467,0.0
506.3125,257.4978,275.02356,-7.345365e-21,2.9802322e-05,-434932.0,-4748928.0,-2.38467,-0.17330982,0.0012859701
503.04688,259.71423,274.4116,-7.345365e-21,-4.0332324e-17,-345616.0,-4875503.0,-2.7571247,-0.1377398,0.0
500.73438,251.5145,270.77155,-7.345365e-21,-3.8163923e-17,-220954.0,-5967236.0,-3.5077782,-0.08788239,0.0004276632
498.25,253.35962,277.5899,-7.345365e-21,-2.5587178e-17,-325724.0,-5354053.0,-3.445871,-0.13003126,0.0
494.5,256.25372,275.35413,-7.345365e-21,-2.4069295e-17,-258730.0,-5998601.0,-3.8626194,-0.1033321,0.00085532654
488.8125,255.15497,279.29773,-7.345365e-21,-2.905662e-17,-253598.0,-4908521.0,-2.963163,-0.10138005,0.0
483.4375,258.12152,276.06726,-7.345365e-21,5.9604645e-05,-162732.0,-5818344.0,-3.910646,-0.065048225,0.0017195939
478.75,255.31818,273.74536,-7.345365e-21,-2.4069295e-17,-120204.0,-5689977.0,-4.0580406,-0.04805159,0.0
475.0625,252.78848,274.42218,-7.345365e-21,-2.2768249e-17,-99328.0,-5916613.0,-4.39173,-0.03970787,0.0004261732
476.84375,251.65244,277.43927,-7.345365e-21,-4.4669136e-17,-165254.0,-6933698.0,-2.5163107,-0.06608013,0.0
489.5625,249.8743,276.3111,-7.345365e-21,2.9802322e-05,-107892.0,-6711017.0,-2.919119,-0.043142587,0.0008523463
506.46875,255.1211,278.04645,-7.345365e-21,-4.6837537e-17,-109882.0,-7164273.0,-2.4835207,-0.043938868,0.0
522.65625,254.61742,278.85745,-7.345365e-21,2.9802322e-05,-83245.0,-6674543.0,-3.2508597,-0.033286866,0.0008523463
531.0,264.28143,280.97995,-7.345365e-21,-2.4069295e-17,-66380.0,-5631090.0,-3.2716951,-0.026543159,0.0
535.28125,265.1284,281.60187,-7.345365e-21,-3.4694476e-17,-74529.0,-5350393.0,-3.5385265,-0.029802322,0.0
538.46875,252.92883,282.08203,-7.345365e-21,-3.9464966e-17,-72364.0,-5572532.0,-4.882481,-0.028936192,0.0008583069
539.375,254.33754,281.11157,-7.345365e-21,-3.3393434e-17,-66826.0,-6663188.0,-3.894057,-0.026721973,0.0004351138
535.59375,268.19635,286.7494,-7.345365e-21,-3.5561835e-17,-73319.0,-4937894.0,-3.0899644,-0.0293185,0.0
523.4375,261.48584,284.29694,-7.345365e-21,-4.8138583e-17,-70535.0,-5800837.0,-4.478894,-0.028204173,0.0004261732
505.1875,255.59691,280.6754,-7.345365e-21,-4.640386e-17,-43006.0,-5795750.0,-5.7651477,-0.017196871,0.0
487.0,276.95142,277.35208,-7.345365e-21,0.19022822,-702086.0,-593146.0,-0.7800013,-0.28076488,18.659565
472.375,273.07135,276.5476,0.9765625,-2.3852454e-17,-3526410.0,-3330876.0,-2.4811885,-1.4096843,0.00782311
461.75,273.8686,274.79837,24.414062,0.021368265,-892800.0,-1089207.0,-0.54011494,-0.35644415,3.8992345
455.125,263.50674,270.29065,22.460938,-2.2768249e-17,-2938224.0,-2654609.0,-2.0602233,-1.1364948,0.0923574
450.0625,260.015,267.42224,21.484375,-2.3635614e-17,-2390415.0,-5117491.0,-2.243679,-0.9269337,0.0
446.15625,262.77502,269.2335,18.554688,-4.0332324e-17,-2517894.0,-5582215.0,-1.9291378,-0.9894348,0.0
