runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
8577.57,268.357,276.7655,0.9750653191531455,0.0006145530750956141,-3207210.0,-4470539.0,-18.620631180965574,-6.6114628225477645,0.002197027226813475
8458.367,273.85162,280.47784,0.9717236935102846,-2.459304479829627e-16,-2564190.0,-2991195.0,-12.253804925421719,-5.285919883135648,0.0
8375.703,275.17316,281.42108,0.9681515962256526,0.0019972974940607457,-3556652.0,-4384074.0,-18.36929959608824,-7.331820143008372,0.013266820975132987
8336.164,280.1554,284.74713,0.9641185556574783,0.0010754678814173246,-3941496.0,-4020934.0,-20.52236550298403,-8.125150088744704,0.004424782207301803
8297.148,281.81543,284.1327,0.9606232822534366,0.5045480833132387,-1097720.0,-638894.0,-4.547308662949945,-2.262880570924608,4.195277256258123
8233.594,275.92505,277.44025,0.9579346169630298,0.5022434947932197,-1821684.0,-344602.0,-3.8980334693405894,-3.7552890717051923,27.40883701335406
8177.0312,272.68414,277.13416,0.9546506305468938,0.0009218296126434211,-3047704.0,-4594323.0,-15.626222193532158,-6.282653203015798,0.008880291169077736
8139.828,274.3869,281.00354,0.9507135985131754,0.0009218296126434211,-3072512.0,-3793708.0,-15.082495337992441,-6.333800683933077,0.0022431181911919396
8117.797,276.5586,281.8698,0.9467190125178604,-2.2133741265099728e-16,-2652864.0,-2739304.0,-12.784527825715486,-5.468711265166348,0.0
8149.6562,275.9217,279.81638,0.9427628810954047,0.0010754678814173246,-2503912.0,-3405197.0,-10.798235734910122,-5.161660283192759,0.004435517952927626
8305.375,277.75427,281.91034,0.9385761927660496,0.41943246742448537,-3109190.0,-3503791.0,-14.234432001103414,-6.409404932128382,1.3589305467576196
8564.578,279.97964,281.00323,0.9348697176392307,1.0100179679284338,-1714220.0,-927784.0,-3.5918515095545445,-3.53375696704461,21.67298089261749
8820.125,277.93835,279.96228,0.9315472766502353,0.5288229374400544,-1802020.0,-1357611.0,-6.818754627602175,-3.7147523244129843,3.899139528584783
9044.719,276.57123,278.432,0.9277830770315632,0.0006145530750956141,-2701020.0,-3356019.0,-12.543546745291678,-5.567983066612214,0.0022047085823651003
9229.6875,277.31067,280.26962,0.923519650086746,0.00015363826877390352,-3088942.0,-3860453.0,-14.063009530218551,-6.367667992890347,0.0022431181911919396
9374.797,275.63663,279.4864,0.9191793992613384,-2.459304479829627e-16,-2921004.0,-4015717.0,-15.314816209865967,-6.021473154760315,0.0
9482.594,273.5649,280.51398,0.9145702222213004,-2.347518093285506e-16,-3449012.0,-4359650.0,-17.035141809174092,-7.109923444659216,0.0
9540.469,273.68652,277.09354,0.9098842213006719,-2.347518093285506e-16,-3068162.0,-3441594.0,-15.928409993648529,-6.324826699710684,0.0
9551.109,275.162,280.11072,0.9051214817645814,0.0393313968061193,-3464248.0,-3981946.0,-14.780770015931921,-7.141337164284778,0.09032390835272963
9511.844,277.32025,280.00928,0.9004739354168123,-2.459304479829627e-16,-2924436.0,-3059219.0,-13.49558579022414,-6.028545385561301,0.002197027226813475
9411.641,271.34824,280.01773,0.8955574628544127,-1.900371600475935e-16,-4172272.0,-5064867.0,-24.81905266904505,-8.600886530985008,0.0
9254.344,275.5099,279.80066,0.8902185868464585,0.0016900209565129387,-3959154.0,-4921791.0,-16.904377844184637,-8.161553523677867,0.0043940541205600425
9067.3125,279.77045,283.9242,0.8851484665228782,-2.4145896980200377e-16,-2744320.0,-2584048.0,-13.783196664007846,-5.657244400936179,0.0
