runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
27.023438,251.68315,266.8202,8.7890625,0.00011920929,-404168.0,-5792298.0,-2.1248498,-0.14280808,0.0004261732
26.78125,263.4532,268.34308,19.53125,0.00044703484,-342180.0,-2574258.0,-1.243882,-0.12101792,1.2767464
26.5,259.597,268.2199,20.507812,0.0019669533,-936556.0,-4405431.0,-2.1292195,-0.33304748,0.28496537
26.132812,245.53625,262.93854,23.4375,0.00011920929,-970648.0,-5544298.0,-1.9819402,-0.34811348,0.003451109
25.726562,241.26854,258.49207,22.460938,0.0003874302,-662180.0,-5344967.0,-1.6264021,-0.23382437,0.023639202
25.320312,250.0637,261.0672,22.460938,0.00071525574,-407408.0,-4677938.0,-1.2136326,-0.14393032,0.12747952
24.914062,253.32086,260.58923,23.4375,0.0006556511,-361254.0,-4652223.0,-1.041416,-0.12781936,0.10407865
24.59375,243.14278,256.42737,27.34375,0.00032782555,-491892.0,-4095253.0,-1.0530279,-0.17390308,0.11097193
24.328125,240.50977,253.96162,24.414062,-4.2934413e-17,-315548.0,-6371560.0,-0.88354576,-0.111523084,0.0
24.015625,244.75764,256.8984,23.4375,0.00017881393,-400172.0,-5968741.0,-1.0994077,-0.14132075,0.0008603894
23.609375,245.99257,259.61932,21.484375,-4.597018e-17,-432962.0,-5998106.0,-1.2400597,-0.15286821,0.0
23.140625,245.38004,262.67706,19.53125,-7.285848e-17,-520942.0,-6164827.0,-1.5517771,-0.18402281,0.0
22.640625,243.25673,264.01892,16.601562,2.9802322e-05,-656826.0,-6297063.0,-1.9898527,-0.2320353,0.0017195939
22.203125,243.71184,263.55115,15.625,2.9802322e-05,-617320.0,-5837645.0,-2.0042398,-0.21794765,0.0004276632
21.890625,245.088,261.6036,14.6484375,0.00029802322,-465712.0,-4614131.0,-1.6244017,-0.164493,0.0669688
21.625,248.57608,260.4903,13.671875,0.00023841858,-403122.0,-5356721.0,-1.4919639,-0.14253706,0.017471611
21.328125,241.27194,256.6546,13.671875,-4.5536498e-17,-281210.0,-6348238.0,-1.182422,-0.09952765,5.9604645e-05
20.984375,243.70213,258.3572,12.6953125,-4.5536498e-17,-255550.0,-6584549.0,-1.2041628,-0.09034295,0.0
20.609375,244.50378,259.3568,11.71875,0.00020861626,-344358.0,-5210521.0,-1.4685541,-0.12168288,0.02702772
20.203125,240.40814,259.9214,11.71875,-4.7704902e-17,-377058.0,-6335492.0,-1.7189755,-0.13317168,0.0004261732
19.796875,246.29745,265.04507,10.7421875,-3.6862877e-17,-385106.0,-6342452.0,-1.9370615,-0.13607088,0.0
19.46875,246.8556,266.87097,9.765625,0.00023841858,-422728.0,-5682312.0,-2.1939092,-0.14931522,0.00085234636
19.21875,247.37004,265.22888,9.765625,0.00035762787,-474064.0,-4566022.0,-2.2104607,-0.16751233,0.21415949
18.921875,242.2107,264.84277,8.7890625,-4.597018e-17,-437560.0,-6657997.0,-2.3149774,-0.15452318,0.0
18.640625,241.62886,266.1126,7.8125,-3.252607e-17,-423636.0,-6703397.0,-2.5124028,-0.14961511,0.0
18.328125,249.27782,267.68054,6.8359375,5.9604645e-05,-437876.0,-5012435.0,-2.6341715,-0.1551602,0.009536743
18.046875,243.7452,265.82224,5.859375,0.00011920929,-394228.0,-6296962.0,-2.6895106,-0.1392616,0.0008597969
17.734375,241.04547,264.47595,5.859375,-3.4694476e-17,-306742.0,-6708529.0,-2.5462396,-0.108376145,0.0
17.359375,243.1368,264.05063,4.8828125,0.00011920929,-274880.0,-5092206.0,-2.3772159,-0.097143464,0.025588274
17.0,239.48196,259.83145,5.859375,0.00032782555,-212896.0,-4465015.0,-1.7755181,-0.07540453,0.15240908
16.640625,237.72118,260.7459,6.8359375,0.0003874302,-202266.0,-4616424.0,-1.5761852,-0.07162802,0.09664893
16.34375,234.79637,262.97876,5.859375,0.00017881393,-229150.0,-6400856.0,-1.98121,-0.08118525,0.0031679869
16.046875,244.16827,265.97763,5.859375,0.00014901161,-233784.0,-5714967.0,-2.189394,-0.08276291,0.011429191
15.8125,241.93204,267.0256,4.8828125,-2.3852454e-17,-246010.0,-5876603.0,-2.2919736,-0.08749869,0.0
15.59375,242.20908,265.36212,4.8828125,-2.4069295e-17,-282878.0,-6171561.0,-2.7357004,-0.1000613,0.003799796
15.375,240.01987,265.99878,3.90625,5.9604645e-05,-165614.0,-7310077.0,-2.1819398,-0.05866587,0.0004351138
15.1875,240.16449,266.4616,3.90625,-2.3418772e-17,-200076.0,-7248473.0,-2.4439023,-0.07186178,0.0
14.96875,239.8141,267.60938,2.9296875,2.9802322e-05,-193102.0,-6879898.0,-2.653122,-0.06884895,0.0012903479
14.765625,241.68884,266.9211,2.9296875,-2.4069295e-17,-183796.0,-6139865.0,-2.6711152,-0.065252185,0.00052452076
14.640625,242.80727,265.59528,4.8828125,8.940697e-05,-256726.0,-5098913.0,-2.2997112,-0.090850055,0.20210743
14.59375,242.85135,265.37012,3.90625,0.00017881393,-189312.0,-5994427.0,-2.1551251,-0.067047775,0.0039488077
14.515625,242.71133,264.6535,2.9296875,0.00035762787,-219990.0,-6742365.0,-1.9493401,-0.08253707,0.001283596
14.34375,243.08556,266.51828,2.9296875,0.00044703484,-315692.0,-5543320.0,-1.8311739,-0.12229569,0.015357137
14.125,239.10065,265.21265,2.9296875,2.9802322e-05,-217214.0,-6089237.0,-2.2889264,-0.0797417,0.038719177
13.890625,245.54886,266.39105,2.9296875,0.00032782555,-191528.0,-5822606.0,-2.3929105,-0.07033907,0.009234164
13.640625,235.23169,264.61926,4.8828125,-3.382711e-17,-226784.0,-7291606.0,-2.235014,-0.08147396,0.0006109476
13.359375,235.22868,267.63284,2.9296875,-3.382711e-17,-292126.0,-7335281.0,-2.393175,-0.10980759,0.0004351138
13.109375,242.37613,268.2296,3.90625,5.9604645e-05,-397490.0,-5410296.0,-2.4835541,-0.15135482,0.15813112
12.875,246.53168,268.04245,3.90625,2.9802322e-05,-237784.0,-5468889.0,-2.6449933,-0.08649379,0.04707575
12.671875,241.17052,266.01544,3.90625,2.9802322e-05,-306950.0,-5364679.0,-2.7738066,-0.111594796,0.04069805
12.4375,241.04497,268.81946,2.9296875,-2.4069295e-17,-494528.0,-5946207.0,-3.0197687,-0.18747243,0.0014901161
12.234375,246.01788,267.75403,4.8828125,8.940697e-05,-242964.0,-5234630.0,-2.5485902,-0.087039545,0.2779156
12.046875,241.07684,268.8177,3.90625,-4.4669136e-17,-836184.0,-6993762.0,-3.0642078,-0.32234937,0.0
11.984375,243.63982,270.86765,2.9296875,-4.7704902e-17,-354454.0,-6957712.0,-3.078062,-0.13213977,0.0
12.0,248.39478,271.78174,1.953125,0.00017881393,-892324.0,-6859573.0,-3.3754559,-0.34775585,0.0008553266
11.953125,247.63689,272.07666,1.953125,0.00020861626,-512618.0,-6159063.0,-3.6677866,-0.19500917,0.039315224
11.859375,251.49513,271.8521,1.953125,0.0004172325,-346157.0,-5667752.0,-3.5129747,-0.12965919,0.08380413
11.734375,243.77675,269.62125,3.90625,0.00047683716,-489018.0,-6069138.0,-3.7336984,-0.17667654,0.0017642974
11.546875,246.82198,271.05957,2.9296875,-2.4069295e-17,-526282.0,-6373986.0,-3.6278553,-0.1959256,1.4901161e-05
11.40625,255.95786,272.2441,5.859375,0.0011026859,-313824.0,-3907327.0,-2.549365,-0.115206465,0.5881861
11.3125,258.27975,271.26782,8.7890625,8.940697e-05,-468938.0,-3828685.0,-2.508305,-0.16981828,0.5799234
11.140625,248.78253,269.55792,8.7890625,0.00017881393,-718056.0,-5641247.0,-3.0948856,-0.25760475,0.17910004
11.0,245.30717,268.15717,8.7890625,0.00014901161,-599656.0,-5108488.0,-3.1476095,-0.21282864,0.045004487
10.859375,243.18715,267.9297,7.8125,2.9802322e-05,-510480.0,-5731912.0,-3.0333996,-0.18057135,0.021472573
10.65625,241.42203,269.09518,6.8359375,5.9604645e-05,-555792.0,-6093369.0,-3.3172853,-0.19835308,0.0013962388
10.453125,238.14848,268.88293,5.859375,-4.727122e-17,-422890.0,-7792046.0,-2.9936545,-0.15263724,0.0
10.265625,246.34853,270.57993,4.8828125,-4.5102814e-17,-585812.0,-6332830.0,-3.573358,-0.21521002,0.0
10.09375,238.24951,269.62976,3.90625,-4.7704902e-17,-495446.0,-7585599.0,-3.7976875,-0.17982629,0.0
9.953125,241.82788,268.3811,3.90625,8.940697e-05,-315270.0,-6327654.0,-3.3442602,-0.11359528,0.008124113
9.796875,235.5694,270.39398,2.9296875,-2.3852454e-17,-405076.0,-8172225.0,-3.1538048,-0.15346798,0.0
9.625,240.74194,272.1388,1.953125,0.00032782555,-425492.0,-7775435.0,-3.781654,-0.16038772,0.0012859701
9.4375,240.94273,272.62448,1.953125,-4.0332324e-17,-409248.0,-7074518.0,-3.7955716,-0.15512946,0.0
9.21875,248.31918,272.1817,2.9296875,-3.8163923e-17,-448756.0,-5858557.0,-3.8643627,-0.16590115,0.28475672
9.09375,248.2229,273.5782,1.953125,-2.5587178e-17,-415170.0,-6163360.0,-3.5076811,-0.15605894,0.039093196
9.0,249.91583,271.0846,5.859375,0.0002682209,-511220.0,-5444512.0,-3.4623518,-0.19023287,0.82259476
8.96875,242.29755,271.19812,4.8828125,-2.905662e-17,-584246.0,-6635388.0,-3.4946165,-0.21365565,0.0
8.8125,251.50238,269.59656,6.8359375,0.00074505806,-395822.0,-5420995.0,-2.8713868,-0.14275359,0.37459135
8.65625,243.81818,268.29224,6.8359375,2.9802322e-05,-526058.0,-5621983.0,-3.283359,-0.18770248,0.0654012
8.5,238.81387,269.85187,6.8359375,-2.2768249e-17,-647198.0,-7141292.0,-3.5441816,-0.23344904,0.0038385391
8.28125,244.67587,272.31036,4.8828125,-4.4669136e-17,-809114.0,-5923183.0,-3.812641,-0.30033988,0.0
8.125,246.01102,272.53766,3.90625,0.00035762787,-562890.0,-7284067.0,-3.0345805,-0.21518302,0.0008523463
8.03125,246.96484,272.25153,2.9296875,-4.6837537e-17,-509604.0,-5410317.0,-3.2557585,-0.19300076,0.05377084
7.9375,239.17015,272.02933,1.953125,0.00011920929,-516055.0,-8198256.0,-3.0409396,-0.19995123,0.0008523463
7.78125,241.21504,274.65182,0.9765625,-2.4069295e-17,-626376.0,-8761489.0,-3.4855232,-0.24689454,0.0
7.5625,244.96042,273.8792,0.9765625,-3.4694476e-17,-1081747.0,-6758383.0,-3.8599596,-0.42609406,0.14010817
7.375,252.59485,275.29688,0.9765625,-3.9464966e-17,-994688.0,-6937735.0,-4.12279,-0.3927145,0.0008583069
7.25,246.52895,275.79907,-7.345365e-21,-3.3393434e-17,-1402944.0,-7875066.0,-3.6825202,-0.55824125,0.0004351138
7.21875,244.98933,276.03064,-7.345365e-21,-3.5561835e-17,-1262393.0,-7922811.0,-4.4927893,-0.5005714,0.0
7.125,261.6167,275.0157,-7.345365e-21,0.08416176,-1117579.0,-5674447.0,-3.6387703,-0.4451028,0.3869176
7.03125,248.63402,273.7223,2.9296875,5.9604645e-05,-1624520.0,-5708950.0,-4.300803,-0.63115966,0.27132034
7.125,250.03929,274.33646,1.953125,0.00011920929,-1233146.0,-6294447.0,-3.4370944,-0.48499182,0.02169907
7.0625,249.7647,274.69214,1.953125,0.0006556511,-1192244.0,-5640597.0,-3.8760827,-0.46685618,0.17295778
6.90625,253.76508,276.07962,1.953125,0.016152859,-1705324.0,-6323428.0,-4.651092,-0.67040694,0.28956234
6.71875,245.86417,276.24377,0.9765625,-2.2768249e-17,-1779030.0,-6988734.0,-4.391264,-0.7045595,0.0
6.5,246.72401,273.54724,1.953125,0.00023841858,-1103099.0,-5436091.0,-4.2991676,-0.42987755,0.18323958
6.3125,249.34142,272.8741,4.8828125,0.0015497208,-1084228.0,-4932052.0,-3.585726,-0.41627187,0.55430084
6.34375,247.18402,274.56647,3.90625,-2.3852454e-17,-1164056.0,-6032535.0,-3.7192032,-0.45071357,0.00013411045
6.5,248.70654,274.2988,2.9296875,0.00035762787,-1411694.0,-5508014.0,-4.1005874,-0.54898393,0.08865595
6.46875,253.62924,273.00214,3.90625,5.9604645e-05,-1118466.0,-5334917.0,-3.522709,-0.43408388,0.29486418
6.21875,245.33693,273.96948,2.9296875,-4.8138583e-17,-1721690.0,-7348260.0,-4.347682,-0.67126286,6.7055225e-05
5.96875,246.4624,273.96225,1.953125,8.940697e-05,-1045932.0,-6327540.0,-3.2918751,-0.40990394,0.1156531
