runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
54.023438,257.93512,264.67957,5.859375,0.00017881393,-202328.0,-5935557.0,-1.6324855,-0.074955635,0.008264184
53.390625,259.28912,265.69855,4.8828125,-4.7704902e-17,-181238.0,-5489925.0,-1.5855656,-0.0668969,0.012725592
52.734375,260.34308,265.8,3.90625,0.0005066395,-188300.0,-5702916.0,-1.6694814,-0.07057097,0.011260837
52.085938,262.31165,269.02448,2.9296875,0.00035762787,-204012.0,-5571690.0,-1.9162111,-0.07781666,0.01064837
51.46875,250.61034,262.90808,37.109375,0.00035762787,-513240.0,-2935727.0,-0.9159893,-0.18641633,3.2055438
50.882812,246.92894,257.92072,29.296875,0.00071525574,-445154.0,-6330461.0,-1.365386,-0.15799515,0.002145857
50.226562,254.33844,261.5951,28.320312,0.0008046627,-507062.0,-4767135.0,-1.2649596,-0.18369034,0.18728673
49.515625,255.64082,260.71838,28.320312,0.0005662441,-415556.0,-4820146.0,-1.2313873,-0.14748052,0.21231472
48.796875,249.9414,257.3874,25.390625,2.9802322e-05,-381120.0,-5547435.0,-1.2616254,-0.13484806,0.017635524
48.1875,244.98616,255.39255,24.414062,0.00017881393,-306980.0,-6511941.0,-1.2432859,-0.10851305,0.0015830956
47.59375,248.03554,257.46503,23.4375,-4.597018e-17,-316710.0,-6316485.0,-1.2774802,-0.11239387,0.0
46.96875,249.19449,258.77667,22.460938,-7.285848e-17,-389136.0,-6470557.0,-1.3431981,-0.13997592,8.940697e-05
46.296875,253.10439,263.62634,21.484375,0.0007748604,-371556.0,-4665598.0,-1.3582147,-0.13144222,0.013320148
45.671875,256.0888,263.3988,19.53125,8.940697e-05,-504514.0,-5664432.0,-1.4755838,-0.18480793,0.0033855438
45.109375,254.53331,263.04697,17.578125,2.9802322e-05,-417848.0,-5940290.0,-1.6158745,-0.14929938,0.01129806
44.546875,254.4921,263.4024,16.601562,8.940697e-05,-444146.0,-6075643.0,-1.6216822,-0.16097817,0.011496246
44.0,245.58249,258.22882,21.484375,-4.5536498e-17,-503490.0,-5371249.0,-1.4999733,-0.1803292,0.33451617
43.484375,247.708,259.77322,17.578125,-4.5536498e-17,-352322.0,-6402561.0,-1.4968663,-0.12494065,4.4703484e-05
42.890625,249.64246,261.23962,15.625,5.9604645e-05,-368550.0,-6582477.0,-1.6049296,-0.13157539,0.000682468
42.265625,252.38666,263.2124,14.6484375,0.00020861626,-443948.0,-6135608.0,-1.6803966,-0.16159657,0.033946335
41.71875,247.6666,262.8654,13.671875,-3.6862877e-17,-358446.0,-6932242.0,-1.8036104,-0.12799352,0.00031292439
41.203125,251.98451,264.75574,11.71875,0.00032782555,-414978.0,-6717897.0,-1.8676631,-0.15208311,0.00085234636
40.640625,257.59662,266.84998,8.7890625,-4.6837537e-17,-363716.0,-6225282.0,-2.0045116,-0.1335349,0.0
40.109375,256.4314,265.47754,11.71875,-4.597018e-17,-412486.0,-6445725.0,-1.9349344,-0.14982559,0.033818185
39.546875,256.7636,266.37433,7.8125,-3.252607e-17,-374806.0,-6021783.0,-1.8849001,-0.13960245,0.009968877
38.96875,259.20166,267.1278,5.859375,-2.4069295e-17,-283494.0,-5881641.0,-1.9132048,-0.1064064,0.0062063336
38.453125,260.20612,268.56442,3.90625,0.0002682209,-261978.0,-6046572.0,-2.0915196,-0.099488534,0.0028714538
37.984375,258.7818,267.9818,4.8828125,-3.4694476e-17,-320996.0,-5997896.0,-2.437368,-0.121043995,0.24573505
37.5,257.586,267.79086,14.6484375,0.0018775463,-505992.0,-4991951.0,-2.0050294,-0.18354878,1.3933063
36.96875,254.32962,265.99747,15.625,0.0005662441,-503506.0,-5180590.0,-2.1736324,-0.17943698,0.44295192
36.390625,244.40672,258.53302,36.132812,-4.8138583e-17,-750424.0,-5009221.0,-1.4828815,-0.26531145,0.06702542
35.828125,250.08543,260.78345,29.296875,0.00023841858,-620162.0,-5546140.0,-1.5464276,-0.22100377,0.030012429
35.28125,250.62726,262.2159,23.4375,-4.6837537e-17,-564640.0,-6697970.0,-1.7638057,-0.20157266,0.0002682209
34.765625,253.13321,263.7678,21.484375,-2.3852454e-17,-536602.0,-6149074.0,-1.8431134,-0.19134861,0.00115484
34.265625,255.15439,265.13947,17.578125,-2.4069295e-17,-579270.0,-6539382.0,-1.9307173,-0.21079369,0.0029802322
33.796875,250.97299,264.18237,16.601562,0.00011920929,-552840.0,-6922304.0,-2.0685568,-0.20036754,0.001001358
33.328125,252.6977,264.95575,14.6484375,-2.3418772e-17,-497534.0,-6833886.0,-2.0753965,-0.18075761,0.0011101365
32.84375,255.82191,265.89844,11.71875,0.00017881393,-576628.0,-6832011.0,-2.0744653,-0.2156347,0.0025718478
32.34375,254.60486,265.0129,20.507812,5.9604645e-05,-732878.0,-6197351.0,-2.0541773,-0.26420736,0.63076913
31.890625,260.66663,264.85504,27.34375,0.00035762787,-581096.0,-4655138.0,-1.519993,-0.20654313,0.8973211
31.453125,258.4451,263.27637,25.390625,0.02092123,-616024.0,-4973951.0,-1.7072297,-0.21924916,0.38154423
30.953125,251.22696,262.05975,20.507812,0.0003874302,-598684.0,-6778304.0,-1.8789768,-0.21621725,0.026392052
30.5,254.29454,264.49484,15.625,-2.4069295e-17,-613888.0,-6605674.0,-1.9472466,-0.22764876,0.0018268824
30.046875,258.40533,266.5642,20.507812,0.0010728836,-529988.0,-4508373.0,-1.7811321,-0.19007735,0.7678926
29.578125,254.64066,266.09222,17.578125,0.00035762787,-591542.0,-5668873.0,-2.0525157,-0.21220091,0.1591771
29.125,255.00122,264.13098,18.554688,-3.382711e-17,-459984.0,-5465593.0,-1.7910302,-0.16431603,0.27766824
28.65625,251.38493,264.80472,15.625,0.00020861626,-637740.0,-6550462.0,-2.137594,-0.23370795,0.03157854
28.203125,248.673,266.35852,12.6953125,-7.719529e-17,-702308.0,-7391496.0,-2.4477692,-0.26182085,0.0010877848
27.78125,255.24261,267.49557,8.7890625,0.00011920929,-535080.0,-7105469.0,-2.5204382,-0.19916612,0.008690357
27.34375,256.1471,267.00372,13.671875,0.000834465,-574654.0,-6000567.0,-2.4982765,-0.21162257,0.78225434
26.859375,250.73051,267.1632,11.71875,2.9802322e-05,-627358.0,-6778809.0,-2.604589,-0.23149699,0.0693351
26.4375,259.29523,267.93176,9.765625,0.0003874302,-475294.0,-5970443.0,-2.3260937,-0.17603207,0.12252628
24.875,250.65692,267.7337,8.7890625,-4.4669136e-17,-593618.0,-6711828.0,-2.6820488,-0.22108573,0.061288476
23.328125,251.87614,270.00632,5.859375,-4.7704902e-17,-588178.0,-7195146.0,-2.8789415,-0.22384244,0.030443072
22.5625,252.35767,270.66064,3.90625,0.00032782555,-764048.0,-6933119.0,-3.006503,-0.29767212,0.025218725
22.15625,259.86542,271.2505,2.9296875,0.0013113022,-1277842.0,-6794740.0,-3.1211078,-0.5056509,0.112614036
21.890625,261.55762,271.33258,1.953125,0.0009834766,-1406447.0,-6766518.0,-3.2566302,-0.5583861,0.10881573
21.578125,256.01892,270.0646,9.765625,0.0017881393,-1485180.0,-5917937.0,-2.6463828,-0.5762428,1.2725651
21.25,258.9489,270.67285,7.8125,5.9604645e-05,-2028202.0,-6630935.0,-3.241472,-0.7921369,0.14971942
20.859375,258.4891,271.41013,7.8125,-4.2934413e-17,-2253098.0,-6580579.0,-3.3730865,-0.88359,0.17470121
20.453125,264.88718,272.43774,4.8828125,0.018328428,-1801568.0,-6086029.0,-3.1748562,-0.7115016,0.7200092
20.046875,263.2005,270.43683,13.671875,0.055909157,-1565224.0,-4821845.0,-2.0479896,-0.6161537,2.1189482
19.625,260.67828,269.85638,17.578125,0.03504753,-1929910.0,-5582017.0,-2.758138,-0.7509971,1.546818
19.1875,260.99573,267.06055,33.203125,0.0029206276,-1826904.0,-5188747.0,-2.170205,-0.69613105,2.2869558
18.796875,258.0353,266.03268,40.039062,0.00047683716,-1637680.0,-5183918.0,-1.8802248,-0.6136326,0.61122626
18.40625,255.12114,265.78723,34.179688,5.9604645e-05,-1970256.0,-6319706.0,-2.5296807,-0.73653364,0.22608042
18.03125,259.44226,268.3143,25.390625,-4.5102814e-17,-1423414.0,-6107775.0,-2.386138,-0.5361028,0.012561679
17.6875,261.64014,270.19812,19.53125,0.009775162,-1945478.0,-6738728.0,-2.8080158,-0.75252914,0.409469
17.359375,264.81226,268.13892,34.179688,0.013440847,-1418964.0,-5219181.0,-2.186019,-0.5497765,2.8641403
17.0625,250.2569,266.11078,27.34375,-2.3852454e-17,-2113890.0,-6577762.0,-2.588272,-0.80668557,0.030219555
16.75,255.42554,268.62122,18.554688,0.0003874302,-1435508.0,-7505684.0,-2.7189665,-0.5494095,0.0013977288
16.421875,261.46033,270.77878,11.71875,0.0019967556,-2039196.0,-7195789.0,-3.0899792,-0.7984638,0.04801154
16.59375,263.53793,272.56842,6.8359375,0.019133091,-2060740.0,-6576251.0,-3.2452047,-0.81187856,0.10199398
16.8125,263.29517,272.96686,3.90625,0.0036656857,-2651170.0,-6716941.0,-3.4419224,-1.053663,0.085264444
16.6875,263.8006,274.5885,1.953125,0.0078082085,-2872016.0,-6708780.0,-3.815718,-1.1450052,0.08546412
16.5,258.75653,271.27625,6.8359375,0.0051259995,-2203890.0,-6600531.0,-3.1867476,-0.8709384,1.5211254
16.3125,261.97894,272.36023,13.671875,0.018119812,-2959042.0,-6197922.0,-3.5558715,-1.151295,0.343813
16.09375,261.1756,269.5266,21.484375,0.018626451,-2237246.0,-5001449.0,-2.6005843,-0.8729445,1.6935766
15.84375,257.86465,265.54718,33.203125,0.0020563602,-1994230.0,-5459906.0,-2.3757071,-0.75769705,1.5549153
15.59375,257.76376,269.72443,21.484375,0.0011920929,-1886426.0,-6564230.0,-2.732508,-0.72639436,0.029206276
15.4375,252.14774,268.89313,17.578125,0.00035762787,-2597902.0,-7335270.0,-3.296364,-1.0038829,0.03311336
15.28125,258.29102,270.20074,12.6953125,0.0005364418,-1271418.0,-5375115.0,-2.7625673,-0.4891129,0.088095665
15.03125,254.66039,270.4102,8.7890625,0.00020861626,-2478127.0,-7767753.0,-3.4708753,-0.97358364,0.0021636486
14.78125,255.58223,272.34714,3.90625,-2.4069295e-17,-1787790.0,-8486401.0,-3.5543702,-0.70697767,0.0
14.59375,256.41354,274.98468,1.953125,-3.4694476e-17,-2846353.0,-8330927.0,-3.965333,-1.1358466,0.00085681677
14.34375,262.2765,274.3086,1.953125,0.00029802322,-2420194.0,-7434922.0,-3.8680546,-0.9655133,0.33650696
14.15625,263.73596,273.1819,4.8828125,0.004917383,-2181742.0,-6028884.0,-3.6825054,-0.86457145,1.1564374
14.0625,262.43854,276.91345,1.953125,0.0022947788,-3268355.0,-7509060.0,-3.9708278,-1.304261,0.14389306
13.9375,263.50146,277.2696,0.9765625,0.0085532665,-3823353.0,-7211513.0,-4.319195,-1.5272828,0.09186715
13.65625,265.13208,276.33948,-7.345365e-21,0.033915043,-2765342.0,-4957201.0,-3.3541322,-1.1052773,0.5158931
13.40625,269.26392,274.39896,8.7890625,0.14135242,-3117558.0,-6089583.0,-3.4596472,-1.2440811,2.759266
13.15625,263.044,274.81323,6.8359375,0.013828278,-3122382.0,-5200083.0,-3.1952224,-1.2379159,0.6522685
12.96875,260.69867,275.3804,3.90625,0.0011622906,-3365812.0,-6655460.0,-3.9220824,-1.3379576,0.37686825
12.75,265.1376,276.30627,1.953125,0.07212162,-2594314.0,-6274141.0,-3.9679222,-1.0341946,0.876233
12.71875,264.1537,275.78552,3.90625,0.012993813,-3053181.0,-4783797.0,-3.566932,-1.2140399,1.8847585
12.9375,261.5055,274.671,10.7421875,0.017017126,-3446232.0,-5656654.0,-3.4411213,-1.3711787,2.44347
12.9375,266.22308,272.47662,20.507812,0.026136637,-2266686.0,-4819332.0,-2.5155246,-0.8913884,2.260685
12.65625,265.062,274.65036,16.601562,0.05748868,-2603348.0,-4853135.0,-2.7294643,-1.0246104,1.6112268
12.28125,265.48666,270.31073,45.898438,0.00044703484,-1725566.0,-3460050.0,-1.618974,-0.6489214,1.9215196
11.90625,265.8545,269.6765,50.78125,0.04133582,-2427604.0,-4752341.0,-2.117034,-0.94116855,3.6066844
11.59375,259.4253,267.71616,41.992188,0.00059604645,-2608696.0,-4800634.0,-2.2691898,-0.989778,0.036080904
11.375,259.5281,270.25128,30.273438,0.00071525574,-2865596.0,-5990702.0,-2.6646852,-1.1064136,0.05207956
11.15625,264.35925,273.98553,17.578125,0.00062584877,-2871892.0,-4915802.0,-3.076181,-1.1242265,0.16065904
10.9375,261.17966,271.69217,31.25,0.019550323,-2803302.0,-4426588.0,-2.342578,-1.0931575,3.0515702
10.75,265.47003,275.55966,14.6484375,-2.3418772e-17,-2927196.0,-6881923.0,-3.1805522,-1.1571753,0.0
10.5625,267.66385,277.73743,6.8359375,0.09334087,-4068345.0,-5945760.0,-3.74344,-1.6207756,1.8900931
10.40625,265.77588,279.33475,1.953125,0.016093254,-5569400.0,-6415059.0,-4.647009,-2.223925,0.2249211
10.1875,270.0646,273.40576,37.109375,0.1039803,-2448758.0,-3536802.0,-1.9688196,-0.97741187,7.250704
10.03125,258.40448,270.4281,44.921875,0.0086426735,-3628900.0,-4636813.0,-2.3409836,-1.4012642,0.2881661
9.9375,265.33972,275.492,24.414062,0.0039041042,-3573404.0,-6114133.0,-3.064178,-1.4025652,0.03308803
9.875,267.22528,276.7407,11.71875,0.05143881,-4022264.0,-5475859.0,-3.430318,-1.5984597,1.3458669
9.84375,271.72632,276.8574,9.765625,0.17780066,-4171012.0,-5132905.0,-3.352862,-1.6641617,2.315174
9.75,263.54037,275.05145,13.671875,0.0025629997,-4067030.0,-4023191.0,-3.1706393,-1.6086749,0.83495677
9.65625,266.26053,273.43503,20.507812,0.0025629997,-2685812.0,-3384945.0,-2.2043028,-1.0627266,1.8609941
9.5,264.9088,273.99487,28.320312,0.037372112,-3629002.0,-4503448.0,-2.6132128,-1.4303205,1.8497437
9.375,264.58755,275.35086,16.601562,0.0002682209,-3806066.0,-4718441.0,-2.903387,-1.509321,0.19645989
9.125,268.69092,277.7448,12.6953125,0.13139844,-4382276.0,-5324274.0,-3.3324883,-1.7450256,2.4789274
8.90625,268.19818,278.5257,5.859375,0.13488531,-5561804.0,-5713383.0,-3.9183125,-2.2200131,1.4800131
8.71875,265.54544,278.99738,1.953125,0.019222498,-5335917.0,-5418283.0,-4.378356,-2.1306505,1.5126377
8.53125,270.58054,277.09506,13.671875,0.13682246,-3932670.0,-4129227.0,-2.8585122,-1.5710201,4.3198195
8.375,261.08606,279.53476,5.859375,0.0028908253,-6241738.0,-6703113.0,-4.2519903,-2.490882,0.2703607
8.21875,266.57953,280.50848,1.953125,0.0538826,-5976447.0,-6803500.0,-4.77241,-2.3868992,0.825949
8.0625,268.08698,280.98483,1.953125,0.09101629,-6925682.0,-6341166.0,-5.0989876,-2.7669966,0.6378025
7.9375,261.67993,281.33154,1.953125,0.002413988,-7013302.0,-6400250.0,-5.194731,-2.8010924,0.6066069
7.84375,255.22638,277.44495,7.8125,-2.3635614e-17,-7186506.0,-6987640.0,-5.468525,-2.8473437,0.05529076
7.8125,255.80298,279.57153,3.90625,0.0037550926,-5702848.0,-6940985.0,-4.769858,-2.274393,0.6869823
8.09375,257.6219,279.27216,0.9765625,0.0166893,-6232622.0,-6985601.0,-5.144425,-2.4893713,0.42769313
8.78125,258.21667,280.56125,-7.345365e-21,0.0032186508,-6323438.0,-7486437.0,-4.9941616,-2.5278358,0.29563904
9.96875,262.4264,281.6456,-7.345365e-21,0.0041127205,-6271161.0,-6955773.0,-5.049467,-2.5074546,0.36881864
11.03125,257.1261,280.3341,-7.345365e-21,0.00011920929,-5962280.0,-6084205.0,-5.0449295,-2.3840833,0.11501014
10.59375,261.36414,282.32254,-7.345365e-21,-1.1600969e-17,-6842280.0,-7581415.0,-5.110383,-2.73603,0.0008523463
9.75,273.658,282.34082,-7.345365e-21,0.15121698,-5821048.0,-5406884.0,-4.414361,-2.3276732,2.144024
