runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
336.4297,278.91168,283.90027,-7.345365e-21,0.00014901161,-3552620.0,-3517459.0,-4.8716774,-1.4205939,0.00072419643
339.16406,279.10553,285.4173,-7.345365e-21,-4.7704902e-17,-4100246.0,-3998154.0,-5.9376807,-1.6395738,0.0
330.14844,280.03644,285.61053,-7.345365e-21,0.00035762787,-3923372.0,-3983508.0,-5.937725,-1.5688465,0.0025734608
319.5078,283.92688,286.26666,-7.345365e-21,0.00032782555,-2533264.0,-2223709.0,-3.7315674,-1.0129819,0.040733814
310.8672,285.45215,290.55457,-7.345365e-21,0.0018775463,-3594200.0,-2550364.0,-4.4638214,-1.4372197,0.056883693
291.78125,276.84106,283.64142,-7.345365e-21,0.0065863132,-1573570.0,-859789.0,-3.3126175,-0.6292267,0.059381217
261.6172,276.55524,282.2943,-7.345365e-21,0.008374453,-1370868.0,-1068648.0,-2.6720204,-0.5481718,0.061938167
293.9375,276.68964,281.68323,-7.345365e-21,0.050485134,-981532.0,-772487.0,-2.103094,-0.3924882,0.17237961
307.17188,277.98828,278.4831,-7.345365e-21,0.39246678,-1309670.0,-519107.0,-0.52392113,-0.5237246,15.184432
294.29688,279.25763,280.5195,-7.345365e-21,0.2965331,-1630704.0,-694256.0,-0.8946657,-0.6520832,1.9854342
286.89062,279.41833,281.44354,-7.345365e-21,0.04848838,-1922570.0,-1153154.0,-1.3365448,-0.76878816,1.1115298
250.15625,276.86636,280.15558,-7.345365e-21,2.9802322e-05,-3471676.0,-3386608.0,-4.236538,-1.3882266,0.00059604645
212.90625,276.6493,280.79236,-7.345365e-21,5.9604645e-05,-4343992.0,-4901524.0,-4.878733,-1.7370405,0.0017195939
214.51562,279.4638,282.96326,-7.345365e-21,0.00011920929,-3009022.0,-2624670.0,-3.4023635,-1.2032236,0.0004276632
230.40625,281.21887,284.57626,-7.345365e-21,0.00017881393,-3568632.0,-2700683.0,-3.8874784,-1.4269958,0.0016868114
223.875,282.08194,284.3399,-7.345365e-21,0.005751848,-1458272.0,-1220972.0,-1.606457,-0.5831225,0.04350394
196.40625,281.18796,282.63898,-7.345365e-21,0.06908178,-2162178.0,-2130176.0,-2.5593414,-0.8645942,0.25358796
163.0625,279.74316,281.3611,-7.345365e-21,0.30717254,-1597624.0,-768794.0,-0.76482445,-0.6388454,2.381146
126.796875,278.63855,282.6361,-7.345365e-21,0.009208918,-2421024.0,-1700496.0,-2.5362148,-0.9680996,0.111845136
111.9375,281.89056,283.61475,-7.345365e-21,0.002592802,-2748726.0,-2152788.0,-2.8238595,-1.0991385,0.019969046
124.546875,279.9537,282.5607,-7.345365e-21,2.9802322e-05,-3623522.0,-3432293.0,-3.9673896,-1.4489452,0.0
140.67188,281.84192,286.18347,-7.345365e-21,0.00029802322,-5000142.0,-4279844.0,-5.9256964,-1.9994164,0.00085234636
144.48438,283.79584,286.6234,-7.345365e-21,0.0040233135,-2532078.0,-1416762.0,-3.3778324,-1.0125068,0.09743869
152.28125,285.20483,289.1709,-7.345365e-21,0.00020861626,-5113330.0,-2556746.0,-5.720593,-2.0446768,0.18689036
139.3125,286.01556,287.74542,-7.345365e-21,0.0023543835,-3476904.0,-2280197.0,-3.083758,-1.3903165,0.76922774
126.203125,286.55713,289.41492,-7.345365e-21,0.0011026859,-3839634.0,-2092437.0,-3.89025,-1.5353626,0.42063743
143.98438,286.3565,289.57614,-7.345365e-21,0.0061690807,-3427018.0,-1727932.0,-3.8917437,-1.3703685,0.41270554
153.6875,285.68805,289.55212,-7.345365e-21,5.9604645e-05,-4087000.0,-1966826.0,-4.1616335,-1.6342773,0.79743564
162.01562,276.16022,281.39243,-7.345365e-21,0.020682812,-2689120.0,-783366.0,-2.5663524,-1.0753042,1.1557072
219.07812,274.41946,279.2045,-7.345365e-21,0.10713935,-1788462.0,-893138.0,-2.3614094,-0.7151561,0.52416325
311.57812,275.15088,276.97443,-7.345365e-21,0.3477633,-2456876.0,-631383.0,-1.3842844,-0.98243636,2.1705627
411.82812,276.56006,279.09204,-7.345365e-21,0.09724498,-1613382.0,-449110.0,-0.9001866,-0.6451467,1.1603699
466.375,281.29132,283.6866,-7.345365e-21,-4.6837537e-17,-3114480.0,-2150911.0,-3.0922778,-1.2453934,0.0032931566
460.875,279.48282,282.19162,-7.345365e-21,0.05427003,-1375548.0,-597768.0,-1.2662895,-0.55004287,0.44049323
415.73438,275.33017,280.7508,-7.345365e-21,0.005930662,-1684592.0,-1005313.0,-2.0644777,-0.67362094,0.117987394
352.5625,274.91245,279.6648,-7.345365e-21,0.00014901161,-2878772.0,-2135637.0,-3.6106257,-1.1511408,0.0051438804
284.73438,278.18402,282.39716,-7.345365e-21,-2.3418772e-17,-4478968.0,-3692912.0,-5.581163,-1.7910143,0.0
222.39062,277.82776,282.70703,-7.345365e-21,0.001013279,-1882780.0,-1272175.0,-2.4455042,-0.7528719,0.012093689
169.125,279.55603,283.84885,-7.345365e-21,5.9604645e-05,-2750048.0,-1995705.0,-3.4592004,-1.0996671,0.0016123056
127.765625,277.66858,283.5777,-7.345365e-21,0.006377697,-2321096.0,-1573645.0,-3.049463,-0.9281412,0.05366206
98.59375,279.408,282.5537,-7.345365e-21,0.06276369,-2059912.0,-795181.0,-1.5439763,-0.8237008,1.0768399
80.546875,279.26602,282.46405,-7.345365e-21,0.00035762787,-3687426.0,-2605535.0,-3.9755554,-1.4744983,0.00146241
71.25,281.32385,285.77414,-7.345365e-21,-2.4069295e-17,-5052372.0,-4016756.0,-6.194785,-2.0203023,0.0004261732
62.265625,284.42877,287.70483,-7.345365e-21,0.017434359,-2788432.0,-1446570.0,-3.45188,-1.1150157,0.07343888
51.984375,286.6387,288.87543,-7.345365e-21,0.063329935,-3542140.0,-1262159.0,-3.482625,-1.4164028,0.8049413
42.375,283.09302,288.37903,-7.345365e-21,-3.382711e-17,-6041144.0,-3506500.0,-6.3519626,-2.415685,0.07022172
34.40625,285.49628,288.32425,-7.345365e-21,0.004082918,-3412222.0,-1955827.0,-3.0324385,-1.3644519,0.15731454
27.96875,285.72183,289.90344,-7.345365e-21,0.0035464764,-4475954.0,-2265463.0,-4.007913,-1.7898083,0.276044
22.828125,286.643,291.1108,-7.345365e-21,0.0030398369,-5941426.0,-2871989.0,-6.5818915,-2.3758104,0.23952425
19.0,287.1549,291.94904,-7.345365e-21,0.0014305115,-6533670.0,-2736091.0,-7.385589,-2.6126328,1.2042701
15.953125,284.02936,293.17102,-7.345365e-21,-2.4069295e-17,-7853916.0,-3528671.0,-10.246832,-3.1405613,0.1256764
13.671875,287.6507,291.13293,-7.345365e-21,0.0003874302,-5000316.0,-3243508.0,-5.3533764,-1.9994872,0.19610822
11.15625,286.80145,292.01105,-7.345365e-21,0.0054836273,-6920452.0,-3175982.0,-7.2754397,-2.7672956,0.5227551
11.703125,287.54608,292.22116,-7.345365e-21,0.00074505806,-4934234.0,-2704197.0,-5.311638,-1.9730618,0.07086992
24.8125,285.65845,293.7622,-7.345365e-21,0.00017881393,-5277216.0,-2396733.0,-6.0838165,-2.1102116,0.16452968
35.453125,286.36542,290.17822,-7.345365e-21,0.0005066395,-2834600.0,-1720009.0,-3.1673238,-1.1334778,0.10391176
55.75,284.42676,287.7564,-7.345365e-21,0.005930662,-2110251.0,-1133691.0,-2.3997314,-0.8438304,0.32237172
94.3125,287.21033,296.37906,-7.345365e-21,0.00047683716,-7931696.0,-3784056.0,-10.80333,-3.1716638,0.0145196915
170.57812,280.29266,284.99707,-7.345365e-21,0.043213367,-2579828.0,-884404.0,-3.5243704,-1.0316013,0.7102415
302.6875,278.90317,286.3242,-7.345365e-21,-4.2934413e-17,-4967554.0,-3538755.0,-6.3952284,-1.9863863,0.0005811453
299.0625,284.16843,288.8069,-7.345365e-21,0.019699335,-4106082.0,-2454349.0,-5.3119955,-1.6419082,0.16668439
284.34375,278.9505,286.80597,-7.345365e-21,0.00011920929,-5140910.0,-3734141.0,-7.069912,-2.0557065,0.0017613173
251.75,283.52985,288.65912,-7.345365e-21,0.0034868717,-4315810.0,-2773065.0,-5.7867618,-1.7257724,0.03977418
213.375,279.35706,284.31055,-7.345365e-21,0.064730644,-2405548.0,-992172.0,-2.9993877,-0.96191096,0.50890446
189.28125,279.1525,283.39206,-7.345365e-21,0.21129847,-2811564.0,-1386177.0,-3.2654665,-1.1242656,0.8371651
183.1875,285.27155,288.66028,-7.345365e-21,0.05030632,-3838968.0,-1701600.0,-4.135072,-1.5350962,0.3400147
161.90625,282.69226,288.01157,-7.345365e-21,0.0006556511,-3305848.0,-1427686.0,-3.7349389,-1.3219155,0.3592819
123.84375,284.47412,287.45007,-7.345365e-21,0.21886826,-2709736.0,-864431.0,-2.359297,-1.0835472,1.5924424
90.671875,282.39038,283.97876,-7.345365e-21,0.3902912,-2438680.0,-613308.0,-1.6087368,-0.97515994,2.0380497
70.5,281.21002,284.56,-7.345365e-21,0.18766522,-2549010.0,-904006.0,-2.068162,-1.0192776,0.98356605
63.140625,283.6814,288.34973,-7.345365e-21,0.00035762787,-6118076.0,-3201447.0,-6.147921,-2.4464467,0.0012859701
50.703125,286.64197,290.97995,-7.345365e-21,0.007748604,-4440364.0,-1756533.0,-4.4003577,-1.7755786,0.1963973
38.96875,288.40512,292.8106,-7.345365e-21,0.00044703484,-4249120.0,-1860845.0,-3.8518906,-1.699104,0.30013472
29.625,288.79712,295.45905,-7.345365e-21,-2.5587178e-17,-7399774.0,-2920918.0,-7.057652,-2.9589627,0.082455575
22.46875,289.1756,296.60413,-7.345365e-21,2.9802322e-05,-7711844.0,-3088082.0,-8.265618,-3.0837514,0.31722933
17.03125,290.7448,298.53406,-7.345365e-21,-2.905662e-17,-9162770.0,-4098394.0,-10.255821,-3.6639357,0.00017136335
12.40625,289.2973,298.5028,-7.345365e-21,0.00059604645,-8975316.0,-5264108.0,-10.291703,-3.5889778,0.0017195939
9.03125,290.4256,299.84302,-7.345365e-21,-2.4069295e-17,-9767094.0,-4699650.0,-12.199294,-3.905588,0.00085681677
13.34375,286.64005,292.39093,-7.345365e-21,-2.2768249e-17,-4235830.0,-1849000.0,-5.6371913,-1.6937898,0.07148981
20.40625,285.7911,292.43146,-7.345365e-21,-4.4669136e-17,-3471124.0,-1743123.0,-4.2779408,-1.3880055,0.012785196
20.46875,289.28445,293.95563,-7.345365e-21,0.01874566,-3843684.0,-1283046.0,-5.0321407,-1.5369822,0.4071474
25.9375,284.8496,290.96832,-7.345365e-21,0.000923872,-3261324.0,-1129132.0,-4.0839353,-1.3041128,0.2110377
97.1875,283.36548,286.6465,-7.345365e-21,0.11515617,-2477131.0,-761627.0,-1.7623156,-0.99053466,1.5671283
217.625,284.9455,288.47604,-7.345365e-21,0.06559491,-1842992.0,-947630.0,-2.4953597,-0.7369611,0.2529472
217.28125,287.37253,291.76593,-7.345365e-21,0.0004172325,-4160965.0,-1560922.0,-3.9831176,-1.6638529,0.45578182
192.21875,288.85266,292.40625,-7.345365e-21,0.13488531,-4194584.0,-1951021.0,-4.478082,-1.6772962,1.0963172
166.03125,289.5387,294.11157,-7.345365e-21,0.10699034,-7369198.0,-2873935.0,-6.992612,-2.9467359,0.94005764
159.53125,290.97174,292.85486,-7.345365e-21,0.35512447,-6504083.0,-2727483.0,-6.8541207,-2.6008017,6.283246
197.78125,289.25732,296.53912,-7.345365e-21,0.00014901161,-8606311.0,-3169755.0,-9.376585,-3.4414227,0.09869188
183.9375,289.93677,298.734,-7.345365e-21,-4.640386e-17,-9391820.0,-3551878.0,-12.493544,-3.755526,0.00043213367
160.9375,289.84204,299.93802,-7.345365e-21,8.940697e-05,-10215792.0,-3997076.0,-14.851343,-4.08501,0.03476739
134.65625,285.46393,300.36792,-7.345365e-21,-2.3852454e-17,-10361196.0,-4908711.0,-14.862049,-4.143152,0.0
106.75,285.39398,300.6851,-7.345365e-21,0.00035762787,-10091766.0,-5074014.0,-17.09757,-4.035415,0.0008523463
80.125,287.52237,302.0133,-7.345365e-21,-2.2768249e-17,-9389336.0,-5180536.0,-15.805971,-3.7545328,0.0
62.875,286.0404,302.5746,-7.345365e-21,0.0005364418,-8879367.0,-5202044.0,-14.304403,-3.5506105,0.0075399876
57.34375,288.7047,291.95224,-7.345365e-21,0.40894747,-7039052.0,-3156774.0,-9.009492,-2.8147204,7.688418
49.21875,280.58636,287.0782,-7.345365e-21,0.0009834766,-3355182.0,-1197186.0,-4.3038874,-1.3416437,0.30763447
45.59375,283.2046,290.0488,-7.345365e-21,0.0009834766,-5047112.0,-2371963.0,-6.126266,-2.0181985,0.003913045
51.4375,282.4691,286.52948,-7.345365e-21,0.056624413,-2876746.0,-896457.0,-2.3606048,-1.1503305,1.007393
73.0,284.39355,290.5476,-7.345365e-21,-4.8138583e-17,-4218056.0,-1880553.0,-5.0081015,-1.686682,0.0
109.75,282.94287,290.09506,-7.345365e-21,0.0022649765,-3635518.0,-1949913.0,-4.723288,-1.4537424,0.007530277
121.15625,284.907,292.23175,-7.345365e-21,-2.2117731e-17,-8927456.0,-5385462.0,-11.1372175,-3.569839,0.0
111.25,282.5741,294.79413,-7.345365e-21,0.00014901161,-9237712.0,-5968619.0,-12.426242,-3.693903,0.0021553987
155.84375,279.94138,296.29764,-7.345365e-21,-3.4694476e-17,-9631336.0,-5486226.0,-14.6425705,-3.851302,0.00085532654
241.625,284.1419,297.3956,-7.345365e-21,-2.3418772e-17,-8840122.0,-5705892.0,-12.614895,-3.5349174,0.0
257.96875,286.83963,298.86243,-7.345365e-21,-4.597018e-17,-8935611.0,-5397495.0,-14.351108,-3.5731006,0.0
222.375,290.96533,299.616,-7.345365e-21,0.00035762787,-6851486.0,-3278621.0,-11.791803,-2.7397177,0.007937849
173.65625,285.6896,304.19873,-7.345365e-21,0.0022053719,-8686046.0,-4500687.0,-16.240175,-3.473307,0.14360249
148.09375,287.33026,301.38513,-7.345365e-21,0.020772219,-7738046.0,-4817619.0,-14.520239,-3.094228,0.07181615
144.40625,283.64832,294.992,-7.345365e-21,-2.3852454e-17,-5002390.0,-3800958.0,-10.226074,-2.0003161,0.0032186508
134.28125,281.70184,296.0024,-7.345365e-21,0.00035762787,-4126846.0,-2874818.0,-8.605566,-1.6502105,0.0041663647
149.9375,286.93726,288.291,-7.345365e-21,0.37109852,-2649062.0,-1061768.0,-1.174029,-1.0592854,3.8020566
234.15625,284.556,289.80927,-7.345365e-21,0.017881393,-3006222.0,-1093736.0,-2.8349981,-1.2021046,0.65449625
523.625,285.42264,290.32565,-7.345365e-21,0.002413988,-2864874.0,-1507727.0,-3.0627213,-1.1455836,0.30222833
856.4375,286.67444,295.42065,-7.345365e-21,0.00020861626,-6287510.0,-3126297.0,-7.9549217,-2.5141993,0.0008523463
1046.6562,289.42935,296.6282,-7.345365e-21,0.00074505806,-5579486.0,-2553470.0,-8.023873,-2.231081,0.08644462
1082.0625,292.61865,296.27216,-7.345365e-21,0.22700429,-7625172.0,-2947072.0,-8.6433735,-3.0490932,2.0233393
984.1875,292.37592,296.4593,-7.345365e-21,0.33795834,-7791456.0,-3082704.0,-7.9256296,-3.115586,4.004851
857.75,293.3716,296.48566,-7.345365e-21,0.24926662,-8563481.0,-3006531.0,-7.733002,-3.4242966,2.3769498
831.03125,294.2817,298.19272,-7.345365e-21,0.017046928,-8713702.0,-2682104.0,-8.42677,-3.4843664,0.6586939
916.9375,289.7013,300.10117,-7.345365e-21,-1.7564079e-17,-9284204.0,-4047532.0,-10.696519,-3.712493,0.022673607
1004.15625,288.33148,299.67255,-7.345365e-21,-2.2985091e-17,-9957149.0,-4961365.0,-12.481928,-3.9815855,0.0
927.78125,294.39557,299.37546,-7.345365e-21,0.13718009,-6962116.0,-2441159.0,-8.129057,-2.783955,0.79772174
759.3125,289.00024,294.8667,-7.345365e-21,0.0009834766,-4835758.0,-1298968.0,-4.8532114,-1.9336846,0.059518218
663.875,292.00958,296.46448,-7.345365e-21,0.002771616,-4519804.0,-1419218.0,-4.924558,-1.8073442,0.028155744
612.46875,290.39868,297.57153,-7.345365e-21,0.00059604645,-7713056.0,-2644974.0,-6.7543573,-3.084236,0.033298135
500.96875,294.409,298.82684,-7.345365e-21,0.0018179417,-7650240.0,-2236950.0,-6.554682,-3.059117,0.98338723
380.625,290.11316,298.31516,-7.345365e-21,-2.1033525e-17,-10406992.0,-3469853.0,-9.867489,-4.161465,1.0485649
279.5,292.94788,297.55576,-7.345365e-21,0.056773424,-7430635.0,-2918719.0,-7.411722,-2.9713037,2.344802
223.96875,293.44446,297.6388,-7.345365e-21,0.031203032,-9114726.0,-2704789.0,-8.090842,-3.6447244,0.7545978
216.46875,288.22937,296.40457,-7.345365e-21,-1.1600969e-17,-9687462.0,-2806113.0,-9.860251,-3.873746,0.09341836
183.8125,290.65213,297.68848,-7.345365e-21,-2.1250368e-17,-9161612.0,-3104900.0,-10.133143,-3.663473,0.0
141.8125,291.68085,300.42358,-7.345365e-21,0.0010430813,-8796108.0,-2202416.0,-10.743815,-3.5173175,0.3733635
237.59375,295.02942,299.21997,-7.345365e-21,0.049620867,-9141262.0,-2895805.0,-10.102257,-3.655335,0.98599494
573.9375,293.43375,296.60767,-7.345365e-21,0.29325485,-8787420.0,-2759038.0,-6.7475214,-3.5138428,10.731205
950.78125,291.6172,298.79004,-7.345365e-21,-3.903128e-17,-8325726.0,-2848501.0,-7.666722,-3.3292248,0.033810735
1013.71875,293.93793,300.86133,-7.345365e-21,0.00074505806,-8686036.0,-2425608.0,-8.834026,-3.4733033,0.3707707
837.1875,292.88177,300.12598,-7.345365e-21,0.0005364418,-8703714.0,-2731634.0,-8.225262,-3.480372,0.032290816
673.28125,295.14282,299.6386,-7.345365e-21,0.07763505,-7378962.0,-1795579.0,-5.7166405,-2.9506404,1.2083501
557.65625,293.24323,297.0983,-7.345365e-21,0.0009834766,-4711206.0,-1351955.0,-3.4477413,-1.8838803,1.2224793
573.78125,294.647,294.86847,-7.345365e-21,0.47674775,-2387732.0,-868902.0,-0.955183,-0.9547882,11.68859
588.9375,290.48083,294.88965,-7.345365e-21,0.073581934,-3559156.0,-820062.0,-2.1861382,-1.4232072,5.8421044
525.34375,291.61127,294.52606,-7.345365e-21,0.001013279,-3920772.0,-1105082.0,-2.7546585,-1.5678071,1.7367609
626.5,293.2212,297.2553,-7.345365e-21,0.0017881393,-7454772.0,-2006541.0,-5.903773,-2.980954,0.037163496
1199.4688,294.93762,298.62427,-7.345365e-21,0.014603138,-6507640.0,-1521571.0,-4.920732,-2.6022234,0.52568316
2210.6562,296.02893,300.7566,-7.345365e-21,0.001937151,-11450210.0,-2702834.0,-9.041302,-4.5786195,0.29358268
2648.7188,296.06714,300.76733,-7.345365e-21,0.0043809414,-9688866.0,-2293738.0,-7.376116,-3.8743067,0.690642
3023.9688,293.65253,302.21335,-7.345365e-21,-2.3201931e-17,-13103804.0,-3204500.0,-11.711296,-5.2398453,0.024810433
3342.8438,295.52832,300.61133,-7.345365e-21,0.008314848,-11357422.0,-3088725.0,-9.65247,-4.5415163,0.29887557
3245.5938,292.67838,297.12878,-7.345365e-21,0.00023841858,-6831251.0,-1760775.0,-5.5831447,-2.7316267,0.11737645
2809.9688,295.02725,298.01587,-7.345365e-21,0.011503696,-4450702.0,-1000250.0,-3.2207854,-1.7797118,0.42921305
2350.5625,295.2254,301.37915,-7.345365e-21,0.02208352,-11678300.0,-2698981.0,-10.279968,-4.669826,0.3964603
1981.25,296.19775,301.656,-7.345365e-21,0.032156706,-11100226.0,-2723204.0,-10.017213,-4.438669,0.42377898
1629.5625,296.57404,298.45825,-7.345365e-21,0.34368038,-5857666.0,-1438143.0,-3.5216212,-2.3423173,4.798354
1440.6875,293.56403,295.83984,-7.345365e-21,0.3452003,-7354950.0,-1646147.0,-4.4555106,-2.9410384,8.7070465
1334.4062,292.23608,295.6277,-7.345365e-21,0.038832426,-4481836.0,-1263972.0,-2.596058,-1.7921607,1.9411967
1200.0312,295.39288,299.06055,-7.345365e-21,0.0035762787,-6770026.0,-1503719.0,-5.3362436,-2.7071443,0.5006358
1112.0312,296.35214,298.77026,-7.345365e-21,0.12263656,-9195520.0,-1953125.0,-6.8209953,-3.67703,4.499972
1035.9375,292.64117,297.09155,-7.345365e-21,0.00020861626,-6233644.0,-1408726.0,-4.904669,-2.4926608,3.2832475
1145.75,295.3897,298.3235,-7.345365e-21,0.0037550926,-5435764.0,-1500889.0,-4.26054,-2.17361,0.10281801
1282.0625,296.5348,298.84937,-7.345365e-21,0.37321448,-9499301.0,-2462413.0,-6.996624,-3.7985044,4.1783776
1340.6875,295.0832,298.24292,-7.345365e-21,0.0016391277,-8085516.0,-2200924.0,-5.2413864,-3.233172,2.0783186
1754.3438,295.82706,298.93262,-7.345365e-21,0.03835559,-10273672.0,-2449259.0,-7.4921103,-4.1081543,1.1356473
2804.0625,296.05264,297.75024,-7.345365e-21,0.336349,-7839858.0,-2033749.0,-4.9600267,-3.13494,4.952812
3718.6562,296.4842,297.8645,-7.345365e-21,0.29164553,-7419804.0,-1859582.0,-4.777588,-2.966972,2.1316857
4122.9062,295.28296,298.6394,-7.345365e-21,0.02154708,-7738394.0,-1664943.0,-5.406495,-3.0943668,1.2441456
