runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
41.554688,278.6734,281.40027,-7.345365e-21,0.00020861626,-2030024.0,-1591842.0,-1.7496943,-0.81175846,0.050151348
54.320312,281.73248,283.86847,-7.345365e-21,-4.7704902e-17,-4241460.0,-4440206.0,-3.378682,-1.6960474,0.0
60.085938,280.6966,284.49335,-7.345365e-21,0.00020861626,-4530088.0,-4496653.0,-3.73777,-1.8114578,0.0025734608
51.4375,280.69836,285.99713,-7.345365e-21,8.940697e-05,-5186530.0,-4733352.0,-4.300773,-2.073949,0.0008583069
37.664062,282.7119,286.5741,-7.345365e-21,0.0044703484,-4374476.0,-3646983.0,-4.050806,-1.7492315,0.14857054
25.375,280.20044,284.2879,-7.345365e-21,0.0004172325,-4818700.0,-4040876.0,-3.9724038,-1.9268631,0.17957398
16.828125,279.62164,282.5287,-7.345365e-21,0.109523535,-1682572.0,-1014923.0,-1.120165,-0.67281353,1.2509465
11.625,278.89667,281.5465,-7.345365e-21,0.12803078,-2083672.0,-838458.0,-1.2559519,-0.8332031,1.293543
8.46875,273.50586,273.22528,110.35156,0.38850307,-352484.0,-202472.0,-0.16273186,-0.1441203,20.937689
6.46875,272.62872,272.32614,137.69531,0.38838387,-125874.0,-788930.0,-0.17243624,-0.04626997,1.4950744
5.203125,272.2406,270.44745,107.421875,0.38823485,-177582.0,-2468086.0,-0.30540675,-0.06621797,0.04748255
4.40625,271.82925,267.90753,70.3125,0.14731288,-939508.0,-3309868.0,-0.6233752,-0.3687581,0.00029802322
3.90625,273.70007,271.3529,47.851562,0.00795722,-1632086.0,-3276377.0,-1.0236986,-0.6403066,0.033190846
3.59375,276.44818,275.34998,24.414062,0.0005364418,-2240484.0,-3625840.0,-1.537811,-0.89605016,0.01141727
3.390625,278.6349,278.9669,8.7890625,0.0005662441,-3426312.0,-4226805.0,-2.3353436,-1.3715876,0.0004351138
3.25,279.23233,281.60748,2.9296875,8.940697e-05,-3569680.0,-3204854.0,-2.423756,-1.4279634,0.009849668
3.171875,279.12155,279.9046,1.953125,0.27623773,-1649314.0,-484049.0,-0.67872554,-0.659884,4.9042106
