runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
11.828125,262.20465,257.73035,61.523438,0.00023841858,-731630.0,-3629860.0,-0.6258153,-0.25825295,0.005015731
11.578125,258.1817,259.29034,54.6875,5.9604645e-05,-817246.0,-4941106.0,-0.79356134,-0.2885675,0.0
11.3125,262.41925,263.84882,46.875,0.00074505806,-655812.0,-4358257.0,-0.7987246,-0.2315296,0.0027448242
11.0625,266.86438,264.55768,36.132812,0.00071525574,-409520.0,-4346391.0,-0.7827245,-0.14460552,0.0011116266
10.796875,256.2959,257.37292,139.64844,0.0024437904,-628568.0,-938671.0,-0.22469461,-0.22176,4.6004715
10.53125,249.91331,252.48125,126.953125,0.004917383,-583868.0,-3734252.0,-0.2059862,-0.2059862,0.010117979
10.2734375,253.17828,248.55212,114.25781,0.0063478947,-299732.0,-3258786.0,-0.10574609,-0.10574423,0.0025272367
10.015625,254.20137,252.9762,102.53906,0.008106232,-728272.0,-2209274.0,-0.2573207,-0.25693327,0.13394952
9.75,246.89648,245.62373,91.796875,0.005930662,-397620.0,-4430665.0,-0.20003691,-0.14060177,1.4901161e-05
9.5,247.82405,244.23239,90.82031,0.0042915344,-309482.0,-4480966.0,-0.18918514,-0.10941271,0.0008603894
9.203125,248.61757,246.62909,89.84375,0.0030696392,-347898.0,-4336496.0,-0.21002442,-0.12286566,0.0
8.84375,251.96793,249.01888,88.86719,0.0023245811,-428064.0,-4190041.0,-0.25400892,-0.15110336,0.0
8.53125,253.99892,251.28455,86.91406,0.002771616,-527478.0,-3894341.0,-0.3046356,-0.18622446,0.0017940997
8.25,256.53412,253.1527,85.9375,0.002026558,-472394.0,-4338733.0,-0.2947487,-0.1668008,0.0021263957
7.9375,258.38684,252.95322,84.96094,0.0016391277,-608650.0,-3666585.0,-0.3543906,-0.21485053,0.0030577183
7.609375,258.3964,250.98051,85.9375,0.0015497208,-640988.0,-3304201.0,-0.35471842,-0.22630674,0.01707673
7.34375,247.50436,255.06282,83.00781,0.0014305115,-1272468.0,-3600909.0,-0.64560026,-0.44914243,0.0705719
