runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
605.9375,247.48393,260.23035,5.214104538756037e-06,6.256925186298723e-05,-17002.0,-4730327.0,-0.37503359351376275,-0.0021540769168382212,0.00014912339071915248
603.3672,248.8907,264.08136,5.214104538756037e-06,-1.6692548006674923e-17,-13580.0,-4415688.0,-0.3094466762831871,-0.001755849632356643,0.0
600.9219,253.90752,264.5949,5.214104538756037e-06,0.0002398488074817351,-18498.0,-4656181.0,-0.31647789455746533,-0.0024402008746982062,0.0009004864354178466
598.9922,254.61243,270.4444,5.214104538756037e-06,5.214104668860298e-05,-24310.0,-2944101.0,-0.3413530791362973,-0.0033002024446560085,0.004143127507738598
597.3203,249.26854,263.34363,5.214104538756037e-06,0.0001564231348616385,-17116.0,-5111404.0,-0.43332987331723416,-0.002204588511744987,0.0006017076420450351
595.9453,249.7434,264.86407,5.214104538756037e-06,0.0002502770074519489,-10812.0,-4655408.0,-0.26401097841244336,-0.001421332385120877,0.0007508625388119583
594.53125,255.86383,266.20447,5.214104538756037e-06,6.256925186298723e-05,-19634.0,-4318452.0,-0.43847362007909396,-0.002555888833910558,0.0006027504328987021
592.5625,259.33417,264.95862,5.214104538756037e-06,6.256925186298723e-05,-16884.0,-4654282.0,-0.40799065459395933,-0.002188294545568681,0.00015225181532185772
590.28125,258.89062,264.56708,5.214104538756037e-06,-1.5023293087678295e-17,-16860.0,-4972828.0,-0.34338136600808866,-0.0022388061404754467,0.0
587.8906,257.4959,264.4824,5.214104538756037e-06,7.299746224154191e-05,-22958.0,-5128533.0,-0.3450485763778488,-0.0031134721467651616,0.0003010611135390029
585.625,255.97499,265.88104,6.517630836075372e-06,-1.6085546755808584e-17,-22704.0,-5129067.0,-0.35488629634983226,-0.0031199899330758285,0.0
583.4531,264.68082,267.37433,5.214104538756037e-06,-2.5494102234623244e-17,-25312.0,-4387184.0,-0.42064787919571245,-0.003458580755122398,0.0
581.2969,263.8329,267.67126,5.214104538756037e-06,0.000312846269723277,-20278.0,-1758587.0,-0.18704427873217355,-0.00267874622483788,0.16088849719153586
579.1094,254.67082,263.97693,5.214104538756037e-06,5.214104668860298e-05,-64330.0,-4696760.0,-0.3868617852731404,-0.008127485351394625,0.0001496447549209634
577.0469,260.10364,266.17197,5.214104538756037e-06,1.0428209077512074e-05,-106340.0,-4327723.0,-0.520934676728757,-0.013325621939230814,0.008692955022482352
575.0,257.9589,263.6895,5.214104538756037e-06,-1.6692548006674923e-17,-54138.0,-4971113.0,-0.330290056638205,-0.006822330034239599,0.0
573.0,263.12546,268.99835,5.214104538756037e-06,0.0002398488074817351,-59892.0,-2369380.0,-0.31874080974603203,-0.007453236694487941,0.2087779549242441
570.9375,255.62596,264.56033,5.214104538756037e-06,-1.593379555562348e-17,-209456.0,-5099796.0,-0.5638089675130686,-0.025990028795774833,0.0
568.75,254.55652,266.2572,5.214104538756037e-06,2.0856418155024148e-05,-154628.0,-5090003.0,-0.4631663159671007,-0.019978167120626722,0.00015016440174653312
566.75,257.87494,265.60693,5.214104538756037e-06,1.0428209077512074e-05,-148144.0,-4955496.0,-0.5420426560931446,-0.01844945662909936,0.00014912339071915248
564.7656,254.66269,264.34586,5.214104538756037e-06,-1.2898786934709073e-17,-90974.0,-5090145.0,-0.37149581544326793,-0.011536531729916533,0.0
562.96875,255.42592,265.30066,5.214104538756037e-06,0.00011471030375576063,-97578.0,-4501914.0,-0.433482369999183,-0.01240924296652679,0.00029824676062162325
561.4844,256.85052,267.65076,5.214104538756037e-06,-1.6389045606304717e-17,-136856.0,-4983833.0,-0.4087962395260547,-0.01831714913080873,0.0
559.9375,259.8357,266.04395,5.214104538756037e-06,-1.6085546755808584e-17,-97054.0,-4255099.0,-0.36209218023941503,-0.01289122142367205,0.03924656599707532
558.1875,261.01166,266.18488,5.214104538756037e-06,-1.138128203260619e-17,-70836.0,-4985224.0,-0.40297207704043103,-0.009420257240932983,0.0
556.3594,248.19774,262.85632,5.214104538756037e-06,-8.422150195075692e-18,-75986.0,-4127139.0,-0.462829987668556,-0.009524865562937634,0.012618133204966853
554.3594,242.79988,265.79684,5.214104538756037e-06,7.299746224154191e-05,-59618.0,-4910368.0,-0.47081148579763976,-0.007416412151073359,0.00030085380020583585
552.2031,264.35602,268.40955,5.214104538756037e-06,8.342567262009659e-05,-138214.0,-1616554.0,-0.3203128642326192,-0.01710715169522814,0.5153516440259409
550.1875,250.87312,261.70297,6.517630836075372e-06,6.256925186298723e-05,-250434.0,-5427296.0,-0.4326416132016675,-0.03098318668293132,0.00015225181532185772
548.4531,249.71243,261.3295,5.214104538756037e-06,-1.5478544321650888e-17,-165334.0,-5503661.0,-0.34400054005345737,-0.02049631930844953,0.0
547.0,248.63524,263.06818,5.214104538756037e-06,-1.6844298023568668e-17,-241430.0,-5205586.0,-0.471322479711489,-0.029858568950658082,0.0
545.59375,263.42725,268.07056,5.214104538756037e-06,7.299746224154191e-05,-336358.0,-2211413.0,-0.3776667085730878,-0.04158118116492915,0.12430216855818799
544.03125,264.45734,267.2159,5.214104538756037e-06,4.1712836310048296e-05,-229120.0,-2161779.0,-0.25822460969493477,-0.02843251234452282,0.10814052586738399
542.34375,254.6254,264.04123,5.214104538756037e-06,-8.346275186628819e-18,-467326.0,-5048564.0,-0.5058242038558092,-0.058634233468524144,0.0
540.84375,254.17783,264.59064,5.214104538756037e-06,-8.422150195075692e-18,-406824.0,-4866975.0,-0.5502301121396158,-0.050295575704240036,0.0
539.4844,256.0355,264.0144,5.214104538756037e-06,6.256925186298723e-05,-276518.0,-4988332.0,-0.4135123816695341,-0.034501729473390697,0.00015225181532185772
538.2031,257.21722,265.8952,5.214104538756037e-06,-8.194523986443716e-18,-436268.0,-5032930.0,-0.5322088583170625,-0.056001107751058044,0.0
536.6406,252.23012,263.85938,5.214104538756037e-06,7.299746224154191e-05,-293056.0,-5280331.0,-0.5347429379298774,-0.036460277463845614,0.00045150903849044965
534.8125,254.86267,264.83517,5.214104538756037e-06,2.0856418155024148e-05,-225860.0,-5264426.0,-0.48731540402968676,-0.02831519552159989,0.00015225181532185772
533.0625,257.63147,266.00543,5.214104538756037e-06,0.00011471030375576063,-360100.0,-5563434.0,-0.45140846793856326,-0.04910985751394037,0.00029824673980494154
531.7031,257.7205,267.10645,5.214104538756037e-06,-8.422150195075692e-18,-275776.0,-4996707.0,-0.7005540680893318,-0.03520400504442023,0.0
531.15625,256.809,265.78436,5.214104538756037e-06,0.00012513850372597446,-173686.0,-5538216.0,-0.5936414453344696,-0.022313921377303814,0.0004491464700162595
533.875,257.09143,266.49094,5.214104538756037e-06,-8.422150195075692e-18,-175908.0,-5371563.0,-0.711177847279032,-0.022450630687842477,0.00014912339071915248
540.6406,258.23346,267.84937,5.214104538756037e-06,0.00011471030375576063,-147284.0,-5508281.0,-0.6881145253601062,-0.019929284889030896,0.00030450367227707886
548.375,261.75784,269.47308,5.214104538756037e-06,6.256925186298723e-05,-202722.0,-5238848.0,-0.5443629333967692,-0.028230791038197367,0.00030082399071762467
553.90625,255.50317,269.3966,5.214104538756037e-06,-1.1836533266578784e-17,-330514.0,-5320796.0,-1.1235756005589792,-0.045228125244989315,0.00016685134524019318
555.3594,251.31462,267.92386,6.517630836075372e-06,-1.1836533266578784e-17,-206476.0,-5619408.0,-0.6809007970787206,-0.02868898185681701,0.00015225181532185772
552.59375,253.29996,267.03235,5.214104538756037e-06,-2.7011607136726127e-17,-193794.0,-5862407.0,-0.6995372814344591,-0.0270025442006272,0.0
547.375,263.0395,272.88034,5.214104538756037e-06,3.1284625931493615e-05,-200326.0,-5168209.0,-0.9526599455966789,-0.02785504893410007,0.00015225181532185772
542.03125,270.9713,274.22638,5.214104538756037e-06,0.00010428209337720595,-358398.0,-1566846.0,-0.36588545526683447,-0.04885256998932164,0.03407000281896444
537.75,256.4317,268.70422,5.214104538756037e-06,-8.422150195075692e-18,-665090.0,-3508298.0,-0.5597966890036332,-0.0906296051539357,0.03744769827562777
534.25,241.51984,262.8009,5.214104538756037e-06,9.385388299865127e-05,-389540.0,-5904071.0,-0.9499733266693511,-0.04924786978222073,0.00030033240477900236
531.3594,241.00458,262.71222,5.214104538756037e-06,-1.563029552183599e-17,-148320.0,-6287918.0,-0.57614418835783,-0.01868669885496388,0.0
529.3906,252.75505,268.05124,5.214104538756037e-06,-1.6692548006674923e-17,-438008.0,-5942417.0,-0.8871981549418706,-0.057624982119364176,0.0
528.0156,255.74048,268.2876,5.214104538756037e-06,0.0004484129734194653,-392126.0,-4257721.0,-0.8555824422273872,-0.051672916612233166,0.04572978262729066
526.8906,248.09001,265.604,5.214104538756037e-06,5.214104668860298e-05,-172094.0,-6154641.0,-0.7550545149115351,-0.02194453685433473,0.00014808053741544036
525.71875,249.24709,266.55524,5.214104538756037e-06,-1.4416291836811956e-17,-200619.0,-6077499.0,-0.7060562268179638,-0.026300268629597667,0.0
524.59375,267.51306,268.18375,5.214104538756037e-06,0.0003024180697530632,-340860.0,-1533293.0,-0.2939386334332994,-0.04218080285056658,0.8775932940352504
523.46875,252.08565,265.99902,5.214104538756037e-06,-8.422150195075692e-18,-1401800.0,-5439653.0,-0.9971675751785369,-0.17359253234872085,0.0
522.25,252.577,269.2031,5.214104538756037e-06,-1.5023293087678295e-17,-1083758.0,-5749998.0,-0.9950740604836028,-0.1351883724964864,0.0
521.6875,260.8774,269.91626,5.214104538756037e-06,0.0004796976149634702,-1026884.0,-4499011.0,-0.9767816209205193,-0.12931092996382176,0.08155902087025879
521.625,249.72784,263.34894,5.214104538756037e-06,6.256925186298723e-05,-467814.0,-6138515.0,-0.6620361432396749,-0.05866290919698258,0.00015225181532185772
520.8125,252.78178,265.4892,5.214104538756037e-06,6.256925186298723e-05,-361548.0,-6125052.0,-0.6289096603495636,-0.045852511121324824,0.00015225181532185772
519.9844,254.94691,267.83008,5.214104538756037e-06,-1.6844298023568668e-17,-506516.0,-5961357.0,-0.8628117313946859,-0.06541647756819202,0.0
519.3594,255.42007,270.27292,5.214104538756037e-06,3.1284625931493615e-05,-621262.0,-6134381.0,-1.1163032525018934,-0.08262074757681148,0.0001496447549209634
519.9375,255.45122,274.0177,5.214104538756037e-06,-1.6540797989781178e-17,-846120.0,-5739633.0,-1.0528815153065807,-0.1169924530586286,0.0
520.4531,251.18837,268.64047,5.214104538756037e-06,-1.5782044355438378e-17,-701966.0,-5881067.0,-0.9607965409941244,-0.09703644821001944,0.0
519.8906,246.84912,266.3036,5.214104538756037e-06,-1.6692548006674923e-17,-258952.0,-6658111.0,-0.826825328203995,-0.03542038928827651,0.0
518.125,246.61694,267.10376,5.214104538756037e-06,-1.4719791870599446e-17,-231448.0,-6609770.0,-0.9192883680952946,-0.03167405537851664,0.00015225181532185772
515.46875,249.24518,268.54047,5.214104538756037e-06,-8.346275186628819e-18,-311992.0,-6457459.0,-0.9714124757920217,-0.0432975975073191,0.0
511.40625,258.37476,273.11926,5.214104538756037e-06,0.00012513850372597446,-653426.0,-5263066.0,-1.00634167665703,-0.09126214450816406,0.0004499771805166475
506.85938,261.28845,275.02292,5.214104538756037e-06,-1.411278943644175e-17,-888468.0,-5246374.0,-0.9225602468632133,-0.12429057250074038,0.0
503.35938,252.55942,272.84967,5.214104538756037e-06,-1.3354039351973024e-17,-1143238.0,-6294680.0,-1.6834700886647624,-0.1598113215095509,0.0001496447549209634
